,syuzhetr_syuzhet,syuzhetr_syuzhet_rstd,syuzhetr_syuzhet_rzstd,syuzhetr_syuzhet_smalowess_rzstd
0,0.6,0.8571428571428572,0.8133278076455853,0.06768462074828469
1,-0.5,-0.7142857142857143,-0.7073288543825089,0.06759644803598294
2,0.25,0.35714285714285715,0.3294825060911917,0.0675084188377896
3,-0.5,-0.7142857142857143,-0.7073288543825089,0.06742053356882494
4,0.0,0.0,-0.016121280733375213,0.06733279263585364
5,0.0,0.0,-0.016121280733375213,0.06724519643745504
6,0.0,0.0,-0.016121280733375213,0.06715774536402319
7,-0.25,-0.35714285714285715,-0.36172506755794204,0.06707043979812977
8,-0.25,-0.35714285714285715,-0.36172506755794204,0.06698328011592924
9,0.4,0.5714285714285715,0.5368447781859318,0.0668962666873232
10,1.25,1.7857142857142858,1.7118976533894592,0.06680939987592438
11,0.75,1.0714285714285714,1.0206900797403253,0.06672268003906087
12,0.0,0.0,-0.016121280733375213,0.06663610752778165
13,-1.0,-1.4285714285714286,-1.3985364280316426,0.06654968268699504
14,-0.5,-0.7142857142857143,-0.7073288543825089,0.06646340585596686
15,0.0,0.0,-0.016121280733375213,0.06637727736838489
16,-0.75,-1.0714285714285714,-1.0529326412070759,0.06629129755206953
17,-0.75,-1.0714285714285714,-1.0529326412070759,0.06620546672787037
18,-0.5,-0.7142857142857143,-0.7073288543825089,0.06611978520937525
19,-0.25,-0.35714285714285715,-0.36172506755794204,0.06603425330244203
20,-0.6,-0.8571428571428572,-0.8455703691123357,0.0659488713043224
21,-1.75,-2.5,-2.435347788505343,0.06586363950348158
22,0.0,0.0,-0.016121280733375213,0.06577855817970689
23,-1.0,-1.4285714285714286,-1.3985364280316426,0.06569362760413024
24,-0.5,-0.7142857142857143,-0.7073288543825089,0.0656088480392251
25,-1.0,-1.4285714285714286,-1.3985364280316426,0.06552421973880451
26,-0.9,-1.2857142857142858,-1.260294913301816,0.06543974294782184
27,-0.4,-0.5714285714285715,-0.5690873396526823,0.06535541790157684
28,-0.5,-0.7142857142857143,-0.7073288543825089,0.06527124482543936
29,0.75,1.0714285714285714,1.0206900797403253,0.06518722393451126
30,0.0,0.0,-0.016121280733375213,0.06510335543344076
31,0.8,1.142857142857143,1.0898108371052388,0.06501963951634301
32,-0.85,-1.2142857142857144,-1.1911741559369027,0.06493607636675734
33,0.5,0.7142857142857143,0.6750862929157585,0.06485266615761488
34,0.5,0.7142857142857143,0.6750862929157585,0.06476940905122186
35,0.0,0.0,-0.016121280733375213,0.06468630519922004
36,0.0,0.0,-0.016121280733375213,0.06460335474257589
37,-1.15,-1.6428571428571428,-1.6058987001263827,0.064520557811571
38,-0.5,-0.7142857142857143,-0.7073288543825089,0.06443791452574324
39,0.0,0.0,-0.016121280733375213,0.06435542499387574
40,0.0,0.0,-0.016121280733375213,0.06427308931394662
