,pattern,pattern_rstd,pattern_rzstd,pattern_smalowess_rzstd
0,0.0,0.0,-0.013682458026052651,-0.002402661511939401
1,0.0,0.0,-0.013682458026052651,-0.0024719186667486116
2,0.018750000000000003,0.018750000000000003,0.08260604691876972,-0.002541150897703044
3,1.0,1.0,5.121704472364473,-0.002610358090010387
4,0.15879629629629627,0.15879629629629627,0.8017979665683685,-0.002679540125368617
5,0.09071428571428572,0.09071428571428572,0.4521704992308022,-0.002748696881961602
6,0.3875,0.3875,1.9762799775002762,-0.0028178282344656714
7,0.0,0.0,-0.013682458026052651,-0.002886934054056469
8,0.0,0.0,-0.013682458026052651,-0.002956014208416569
9,0.0,0.0,-0.013682458026052651,-0.00302506856181957
10,0.0,0.0,-0.013682458026052651,-0.003094096975449564
11,0.0,0.0,-0.013682458026052651,-0.003163099307575046
12,0.0,0.0,-0.013682458026052651,-0.003232075413905503
13,0.0,0.0,-0.013682458026052651,-0.0033010251477645675
14,0.0,0.0,-0.013682458026052651,-0.0033699483603712582
15,0.0,0.0,-0.013682458026052651,-0.003438844900827398
16,0.0,0.0,-0.013682458026052651,-0.0035077146161685805
17,0.0,0.0,-0.013682458026052651,-0.0035765573516264213
18,0.0,0.0,-0.013682458026052651,-0.0036453729507594426
19,0.0,0.0,-0.013682458026052651,-0.0037141612556855015
20,0.0,0.0,-0.013682458026052651,-0.003782922107082103
21,0.0,0.0,-0.013682458026052651,-0.0038516553438462816
22,0.0,0.0,-0.013682458026052651,-0.00392036080269515
23,0.0,0.0,-0.013682458026052651,-0.00398903831798968
24,0.0,0.0,-0.013682458026052651,-0.00405768772177401
25,0.0,0.0,-0.013682458026052651,-0.004126308844000931
26,0.0,0.0,-0.013682458026052651,-0.004194901512722942
27,0.0,0.0,-0.013682458026052651,-0.004263465554670497
28,0.0,0.0,-0.013682458026052651,-0.0043320007956876815
29,0.0,0.0,-0.013682458026052651,-0.004400507060977683
30,0.0,0.0,-0.013682458026052651,-0.004468984175283115
31,0.0,0.0,-0.013682458026052651,-0.004537431963092448
32,0.0,0.0,-0.013682458026052651,-0.004605850249293536
33,0.0,0.0,-0.013682458026052651,-0.004674238859345815
34,0.0,0.0,-0.013682458026052651,-0.004742597619289975
35,0.0,0.0,-0.013682458026052651,-0.00481092635574349
36,0.0,0.0,-0.013682458026052651,-0.004879224895851886
37,0.0,0.0,-0.013682458026052651,-0.004947493067283022
38,0.2,0.2,1.0133949280520524,-0.005015730698050494
39,0.0,0.0,-0.013682458026052651,-0.005083937615769901
40,0.0,0.0,-0.013682458026052651,-0.005152113647480901
41,0.0,0.0,-0.013682458026052651,-0.0052202586197154744
42,0.0,0.0,-0.013682458026052651,-0.005288372358762586
43,-0.2,-0.2,-1.040759844104158,-0.005356454690744637
44,0.0,0.0,-0.013682458026052651,-0.0054245054417169265
45,0.0,0.0,-0.013682458026052651,-0.0054925244380236654
46,0.2,0.2,1.0133949280520524,-0.005560511506499655
47,0.06666666666666667,0.06666666666666667,0.3286766706666491,-0.005628466474896785
48,0.0,0.0,-0.013682458026052651,-0.005696389172047596
49,0.0,0.0,-0.013682458026052651,-0.005764279428077051
50,0.0,0.0,-0.013682458026052651,-0.005832137074515448
