,sentimentr_jockers,sentimentr_jockers_rstd,sentimentr_jockers_rzstd,sentimentr_jockers_smalowess_rzstd
0,0.0,0.0,0.0844831616202412,-0.05606525504720379
1,-0.06933752452815364,-0.9607689228305227,-0.22319620477364877,-0.056097367902274535
2,-0.11470786693528087,-1.5894388284780523,-0.4245232394477905,-0.05612943928186656
3,0.17650452162436564,2.4457183937523266,0.867706960690121,-0.05616146907614635
4,0.4642857142857143,6.433331570970115,2.144711520928919,-0.0561934571757243
5,-0.1469936830518334,-2.0368042194996128,-0.5677888018377064,-0.056225403471835064
6,0.05883484054145522,0.815239464584109,0.34555776131020116,-0.05625730785643478
7,0.0,0.0,0.0844831616202412,-0.05628917022202104
8,0.0,0.0,0.0844831616202412,-0.05632099046069404
9,0.0,0.0,0.0844831616202412,-0.0563527684641581
10,0.0,0.0,0.0844831616202412,-0.05638450412450394
11,0.0,0.0,0.0844831616202412,-0.05641619733445403
12,0.0,0.0,0.0844831616202412,-0.056447847987459554
13,0.0,0.0,0.0844831616202412,-0.05647945597788088
14,0.0,0.0,0.0844831616202412,-0.056511021201111844
15,0.0,0.0,0.0844831616202412,-0.05654254355381514
16,0.0,0.0,0.0844831616202412,-0.05657402293421183
17,0.0,0.0,0.0844831616202412,-0.05660545924209841
18,0.0,0.0,0.0844831616202412,-0.0566368523786701
19,0.0,0.0,0.0844831616202412,-0.05666820224700122
20,0.0,0.0,0.0844831616202412,-0.056699508752286534
21,0.0,0.0,0.0844831616202412,-0.05673077180194412
22,0.0,0.0,0.0844831616202412,-0.05676199130579851
23,0.0,0.0,0.0844831616202412,-0.05679316717624095
24,0.0,0.0,0.0844831616202412,-0.05682429932829106
25,0.0,0.0,0.0844831616202412,-0.05685538767965898
26,0.0,0.0,0.0844831616202412,-0.05688643215080159
27,0.0,0.0,0.0844831616202412,-0.056917432664958044
28,0.0,0.0,0.0844831616202412,-0.056948389148176876
29,0.0,0.0,0.0844831616202412,-0.056979301529486395
30,0.0,0.0,0.0844831616202412,-0.057010169741063675
31,0.0,0.0,0.0844831616202412,-0.05704099371828473
32,0.0,0.0,0.0844831616202412,-0.05707177339975162
33,0.0,0.0,0.0844831616202412,-0.05710250872731389
34,0.0,0.0,0.0844831616202412,-0.05713319964609461
35,0.0,0.0,0.0844831616202412,-0.05716384610451467
36,0.0,0.0,0.0844831616202412,-0.05719444805433975
37,0.0,0.0,0.0844831616202412,-0.05722500545069313
38,0.0,0.0,0.0844831616202412,-0.05725551825204358
39,0.1207019698150837,1.6724955543469595,0.6200878842855299,-0.05728598642021352
40,-0.04743416490252569,-0.6572670690061992,-0.12600190980319093,-0.057316409920401344
41,0.3478505426185217,4.819958506045461,1.6280403520587434,-0.057346788721214764
42,0.0,0.0,0.0844831616202412,-0.05737712279468838
43,-0.75,-10.392304845413262,-3.2435780341860845,-0.05740741211630067
44,-0.36080267658177295,-4.999428538771777,-1.5165480214129032,-0.057437656664960576
45,-0.20412414523193154,-2.8284271247461903,-0.8213003675444605,-0.05746785642292154
46,0.0,0.0,0.0844831616202412,-0.05749801137579261
47,-0.20207259421636903,-2.8,-0.8121967844429795,-0.057528121512636136
48,0.0,0.0,0.0844831616202412,-0.05755818682595647
49,0.0,0.0,0.0844831616202412,-0.05758820731153699
50,0.0,0.0,0.0844831616202412,-0.05761818296837615
51,0.25,3.464101615137754,1.1938368935556831,-0.05764811379844808
52,0.0,0.0,0.0844831616202412,-0.05767799980630205
53,0.022941573387056175,0.31788776569561045,0.18628444183384754,-0.057707840999002696
54,-0.20412414523193154,-2.8284271247461903,-0.8213003675444605,-0.057737637386194494
55,-0.17677669529663687,-2.4494897427831774,-0.699948384965913,-0.05776738898015731
56,0.0,0.0,0.0844831616202412,-0.057797095795656346
57,-0.3818813079129867,-5.2915026221291805,-1.6100826547383964,-0.057826757849932194
58,-0.10206207261596577,-1.4142135623730951,-0.36840860296210964,-0.05785637516270407
59,0.2598076211353316,3.6,1.2373573779872395,-0.05788594775604244
60,0.0917662935482247,1.2715510627824418,0.49168828247466656,-0.057915475654376006
61,0.0,0.0,0.0844831616202412,-0.05794495888446423
62,-0.0545544725589981,-0.7559289460184544,-0.1575976692881356,-0.0579743974752057
63,0.0,0.0,0.0844831616202412,-0.05800379145781053
64,0.0,0.0,0.0844831616202412,-0.05803314086599021
65,-0.1563858105428061,-2.1669453555438456,-0.6094655685694025,-0.058062445736024995
66,0.0,0.0,0.0844831616202412,-0.05809170610683064
67,-0.125,-1.732050807568877,-0.47019370434747976,-0.058120922020048545
68,0.0,0.0,0.0844831616202412,-0.05815009351996984
69,-0.25,-3.464101615137754,-1.0248705703152006,-0.058179220653540586
70,-0.22613350843332272,-3.133397807202561,-0.918965044364404,-0.05820830347040049
71,0.0,0.0,0.0844831616202412,-0.05823734202283143
72,0.0,0.0,0.0844831616202412,-0.058266336365413826
73,0.1101976563341456,1.5269435171660357,0.573475886839536,-0.05829528655497809
74,0.0,0.0,0.0844831616202412,-0.05832419265072778
75,-0.1735055234471418,-2.4041630560342613,-0.685432838169755,-0.05835305471458092
76,0.0,0.0,0.0844831616202412,-0.058381872811306815
77,0.263828093951146,3.65570930549952,1.255197884076714,-0.05841064700858325
78,-0.1387403661684135,-1.9224429061152186,-0.5311654102958359,-0.058439377376800106
79,-0.3326528141123145,-4.609372602586351,-1.3916354014770507,-0.058468063989091025
80,0.0,0.0,0.0844831616202412,-0.05849670692156803
81,0.0,0.0,0.0844831616202412,-0.058525306253317755
82,0.0,0.0,0.0844831616202412,-0.058553862066413505
