,pysentimentr_huliu,pysentimentr_huliu_rstd,pysentimentr_huliu_rzstd,pysentimentr_huliu_smalowess_rzstd
0,0.0,0.0,0.2079959180087127,-0.004847827606634279
1,0.0,0.0,0.2079959180087127,-0.004926344700618034
2,0.0,0.0,0.2079959180087127,-0.005004833478616866
3,1.0,1.0,1.4134673947335072,-0.005083293848322379
4,2.0,2.0,2.6189388714583024,-0.00516172571521053
5,-2.0,-2.0,-2.202947035440877,-0.005240128982925072
6,-2.0,-2.0,-2.202947035440877,-0.0053185035534484715
7,0.0,0.0,0.2079959180087127,-0.005396849327204598
8,0.0,0.0,0.2079959180087127,-0.005475166203163506
9,0.0,0.0,0.2079959180087127,-0.005553454079108808
10,0.0,0.0,0.2079959180087127,-0.005631712852396733
11,0.0,0.0,0.2079959180087127,-0.005709942420227357
12,0.0,0.0,0.2079959180087127,-0.005788142679752744
13,0.0,0.0,0.2079959180087127,-0.0058663135281826085
14,0.0,0.0,0.2079959180087127,-0.005944454862648527
15,0.0,0.0,0.2079959180087127,-0.006022566579422426
16,0.0,0.0,0.2079959180087127,-0.006100648574096876
17,0.0,0.0,0.2079959180087127,-0.006178700741614804
18,0.0,0.0,0.2079959180087127,-0.006256722975744252
19,0.0,0.0,0.2079959180087127,-0.0063347151690245984
20,0.0,0.0,0.2079959180087127,-0.006412677212946806
21,0.0,0.0,0.2079959180087127,-0.006490608998370288
22,0.0,0.0,0.2079959180087127,-0.006568510415706489
23,0.0,0.0,0.2079959180087127,-0.006646381355022453
24,0.0,0.0,0.2079959180087127,-0.00672422170614587
25,0.0,0.0,0.2079959180087127,-0.006802031358768059
26,0.0,0.0,0.2079959180087127,-0.006879810202548049
27,0.0,0.0,0.2079959180087127,-0.006957558127289997
28,0.0,0.0,0.2079959180087127,-0.007035275023348686
29,0.0,0.0,0.2079959180087127,-0.007112960781874036
30,0.0,0.0,0.2079959180087127,-0.007190615295187753
31,0.0,0.0,0.2079959180087127,-0.007268238456941748
32,0.0,0.0,0.2079959180087127,-0.0073458301621376456
33,0.0,0.0,0.2079959180087127,-0.007423390306944272
34,0.0,0.0,0.2079959180087127,-0.007500918788719083
35,0.0,0.0,0.2079959180087127,-0.007578415506095783
36,0.0,0.0,0.2079959180087127,-0.007655880359070418
37,0.0,0.0,0.2079959180087127,-0.007733313249019709
38,0.0,0.0,0.2079959180087127,-0.007810714078587378
39,0.0,0.0,0.2079959180087127,-0.007888082751960073
40,-1.0,-1.0,-0.9974755587160821,-0.007965419175010587
41,1.0,1.0,1.4134673947335072,-0.008042723255374307
42,0.0,0.0,0.2079959180087127,-0.00811999490252363
43,-1.0,-1.0,-0.9974755587160821,-0.008197234027840318
44,-2.0,-2.0,-2.202947035440877,-0.008274440544630042
45,0.0,0.0,0.2079959180087127,-0.008351614367973288
46,0.0,0.0,0.2079959180087127,-0.008428755414795146
47,-1.0,-1.0,-0.9974755587160821,-0.008505863604142688
48,0.0,0.0,0.2079959180087127,-0.008582938857251315
49,0.0,0.0,0.2079959180087127,-0.008659981097413403
50,0.0,0.0,0.2079959180087127,-0.008736990250039722
51,0.0,0.0,0.2079959180087127,-0.008813966242857811
52,0.0,0.0,0.2079959180087127,-0.008890909005840974
53,-1.0,-1.0,-0.9974755587160821,-0.00896781847122479
54,-1.0,-1.0,-0.9974755587160821,-0.009044694573601754
55,0.0,0.0,0.2079959180087127,-0.009121537249994132
56,0.0,0.0,0.2079959180087127,-0.009198346439422064
57,-3.0,-3.0,-3.408418512165671,-0.009275122082840625
58,-1.0,-1.0,-0.9974755587160821,-0.009351864123155395
59,1.0,1.0,1.4134673947335072,-0.009428572505078583
60,-1.0,-1.0,-0.9974755587160821,-0.009505247175148817
61,0.0,0.0,0.2079959180087127,-0.009581888081747465
62,0.0,0.0,0.2079959180087127,-0.009658495175004719
63,0.0,0.0,0.2079959180087127,-0.009735068407074743
64,0.0,0.0,0.2079959180087127,-0.0098116077324346
65,-1.0,-1.0,-0.9974755587160821,-0.009888113107985177
66,0.0,0.0,0.2079959180087127,-0.009964584493134006
67,0.0,0.0,0.2079959180087127,-0.010041021849941835
68,0.0,0.0,0.2079959180087127,-0.010117425143073622
69,-1.0,-1.0,-0.9974755587160821,-0.010193794339813848
70,-1.0,-1.0,-0.9974755587160821,-0.010270129410108252
71,0.0,0.0,0.2079959180087127,-0.010346430326437889
72,0.0,0.0,0.2079959180087127,-0.01042269706318875
73,-1.0,-1.0,-0.9974755587160821,-0.010498929596552105
74,0.0,0.0,0.2079959180087127,-0.010575127904642583
75,-1.0,-1.0,-0.9974755587160821,-0.010651291967759094
76,0.0,0.0,0.2079959180087127,-0.01072742176849394
77,2.0,2.0,2.6189388714583024,-0.010803517291747295
78,1.0,1.0,1.4134673947335072,-0.010879578524609808
79,-3.0,-3.0,-3.408418512165671,-0.010955605456380656
80,0.0,0.0,0.2079959180087127,-0.011031598078627664
81,0.0,0.0,0.2079959180087127,-0.01110755638524692
82,0.0,0.0,0.2079959180087127,-0.011183480372518635
83,-1.0,-1.0,-0.9974755587160821,-0.0112593700391631
84,0.0,0.0,0.2079959180087127,-0.011335225386392714
85,0.0,0.0,0.2079959180087127,-0.01141104641796356
86,0.0,0.0,0.2079959180087127,-0.011486833140188333
87,0.0,0.0,0.2079959180087127,-0.011562585561838677
88,0.0,0.0,0.2079959180087127,-0.011638303694162438
89,0.0,0.0,0.2079959180087127,-0.011713987550934972
90,0.0,0.0,0.2079959180087127,-0.011789637148473113
91,0.0,0.0,0.2079959180087127,-0.011865252505536278
