,syuzhetr_afinn,syuzhetr_afinn_rstd,syuzhetr_afinn_rzstd,syuzhetr_afinn_smalowess_rzstd
8037,1,1.0,0.5485461641725092,-0.03809321487065761
8038,2,2.0,1.1100388394250005,-0.03812281435065904
8039,0,0.0,-0.012946511079982062,-0.038151745346683384
8040,0,0.0,-0.012946511079982062,-0.03818001209686952
8041,0,0.0,-0.012946511079982062,-0.03820761878935529
8042,3,3.0,1.6715315146774918,-0.03823456956288337
8043,7,7.0,3.917502215687457,-0.038260868502938826
8044,2,2.0,1.1100388394250005,-0.038286519641938674
8045,-3,-3.0,-1.697424536837456,-0.038311526973103596
8046,3,3.0,1.6715315146774918,-0.03833589448343585
8047,-2,-2.0,-1.1359318615849647,-0.03835962617124688
8048,-3,-3.0,-1.697424536837456,-0.03838272604112465
8049,0,0.0,-0.012946511079982062,-0.03840519812006128
8050,0,0.0,-0.012946511079982062,-0.03842704645888215
8051,-2,-2.0,-1.1359318615849647,-0.03844827512212124
8052,-1,-1.0,-0.5744391863324734,-0.038468888187852504
8053,-1,-1.0,-0.5744391863324734,-0.03848888974399231
8054,0,0.0,-0.012946511079982062,-0.03850828387081932
8055,0,0.0,-0.012946511079982062,-0.03852707463527444
8056,2,2.0,1.1100388394250005,-0.0385452660880761
8057,0,0.0,-0.012946511079982062,-0.038562862266040006
8058,0,0.0,-0.012946511079982062,-0.03857986719624109
8059,-1,-1.0,-0.5744391863324734,-0.03859628490664331
8060,-1,-1.0,-0.5744391863324734,-0.038612119426570064
8061,0,0.0,-0.012946511079982062,-0.038627374778202606
8062,0,0.0,-0.012946511079982062,-0.03864205496732509
8063,0,0.0,-0.012946511079982062,-0.03865616397764874
8064,0,0.0,-0.012946511079982062,-0.03866970577109144
8065,1,1.0,0.5485461641725092,-0.03868268428825772
8066,1,1.0,0.5485461641725092,-0.038695103450076526
8067,0,0.0,-0.012946511079982062,-0.038706967166763036
8068,-1,-1.0,-0.5744391863324734,-0.038718279346335226
8069,0,0.0,-0.012946511079982062,-0.03872904390457615
8070,1,1.0,0.5485461641725092,-0.03873926476585885
8071,0,0.0,-0.012946511079982062,-0.038748945853687454
8072,0,0.0,-0.012946511079982062,-0.03875809109137949
8073,-2,-2.0,-1.1359318615849647,-0.038766704412636105
8074,0,0.0,-0.012946511079982062,-0.03877478975901828
8075,1,1.0,0.5485461641725092,-0.038782351077414276
8076,0,0.0,-0.012946511079982062,-0.03878939231405573
8077,0,0.0,-0.012946511079982062,-0.038795917409274315
8078,0,0.0,-0.012946511079982062,-0.038801930299798386
8079,0,0.0,-0.012946511079982062,-0.03880743492498439
8080,0,0.0,-0.012946511079982062,-0.038812435231116604
8081,0,0.0,-0.012946511079982062,-0.03881693517403278
8082,1,1.0,0.5485461641725092,-0.03882093872532672
8083,0,0.0,-0.012946511079982062,-0.03882444987305338
8084,3,3.0,1.6715315146774918,-0.038827472619257085
8085,0,0.0,-0.012946511079982062,-0.038830010985098404
8086,0,0.0,-0.012946511079982062,-0.03883206901801934
8087,2,2.0,1.1100388394250005,-0.038833650814996824
8088,-2,-2.0,-1.1359318615849647,-0.038834760526893775
8089,1,1.0,0.5485461641725092,-0.03883540235000383
8090,0,0.0,-0.012946511079982062,-0.03883558053379614
8091,0,0.0,-0.012946511079982062,-0.03883529937829021
8092,-1,-1.0,-0.5744391863324734,-0.03883456323036207
8093,-5,-5.0,-2.8204098873424384,-0.03883337646408932
8094,0,0.0,-0.012946511079982062,-0.038831743467469475
8095,1,1.0,0.5485461641725092,-0.038829668618871445
8096,1,1.0,0.5485461641725092,-0.03882715625031873
8097,1,1.0,0.5485461641725092,-0.038824210637047225
8098,0,0.0,-0.012946511079982062,-0.03882083599737645
8099,2,2.0,1.1100388394250005,-0.038817036482883024
8100,0,0.0,-0.012946511079982062,-0.038812816170220824
8101,0,0.0,-0.012946511079982062,-0.038808179054746136
8102,0,0.0,-0.012946511079982062,-0.03880312905824556
8103,0,0.0,-0.012946511079982062,-0.03879767001704911
8104,0,0.0,-0.012946511079982062,-0.038791805664132976
8105,3,3.0,1.6715315146774918,-0.03878553962375831
8106,1,1.0,0.5485461641725092,-0.03877887541005322
8107,1,1.0,0.5485461641725092,-0.038771816430497076
8108,0,0.0,-0.012946511079982062,-0.03876436600050067
8109,0,0.0,-0.012946511079982062,-0.038756527369080196
8110,3,3.0,1.6715315146774918,-0.03874830374169517
8111,2,2.0,1.1100388394250005,-0.03873969827910417
8112,0,0.0,-0.012946511079982062,-0.038730714096140775
8113,0,0.0,-0.012946511079982062,-0.03872135427406768
8114,0,0.0,-0.012946511079982062,-0.03871162187769151
8115,-3,-3.0,-1.697424536837456,-0.038701519962013105
8116,-1,-1.0,-0.5744391863324734,-0.03869105158586891
8117,0,0.0,-0.012946511079982062,-0.03868021981721792
8118,-3,-3.0,-1.697424536837456,-0.038669027725556755
8119,-2,-2.0,-1.1359318615849647,-0.03865747837819187
8120,0,0.0,-0.012946511079982062,-0.03864557484270022
8121,-2,-2.0,-1.1359318615849647,-0.03863332017068636
8122,-2,-2.0,-1.1359318615849647,-0.03862071738069301
8123,0,0.0,-0.012946511079982062,-0.03860776945281547
8124,0,0.0,-0.012946511079982062,-0.038594479315873134
8125,0,0.0,-0.012946511079982062,-0.038580849831236406
8126,0,0.0,-0.012946511079982062,-0.038566883787173926
8127,0,0.0,-0.012946511079982062,-0.03855258389976676
8128,0,0.0,-0.012946511079982062,-0.038537952815038766
8129,0,0.0,-0.012946511079982062,-0.03852299311148686
8130,0,0.0,-0.012946511079982062,-0.0385077073045216
8131,0,0.0,-0.012946511079982062,-0.03849209785144245
8132,-5,-5.0,-2.8204098873424384,-0.038476167144982795
8133,-1,-1.0,-0.5744391863324734,-0.038459917520533494
8134,-3,-3.0,-1.697424536837456,-0.03844335125368881
8135,-1,-1.0,-0.5744391863324734,-0.038426470533044245
8136,0,0.0,-0.012946511079982062,-0.0384092774414854
8137,0,0.0,-0.012946511079982062,-0.03839177395125011
8138,0,0.0,-0.012946511079982062,-0.038373961927659614
8139,0,0.0,-0.012946511079982062,-0.03835584312645338
8140,0,0.0,-0.012946511079982062,-0.03833741918741672
8141,0,0.0,-0.012946511079982062,-0.03831869162656493
8142,0,0.0,-0.012946511079982062,-0.03829966183457711
8143,2,2.0,1.1100388394250005,-0.03828033107047093
