,afinn,afinn_rstd,afinn_rzstd,afinn_smalowess_rzstd
0,0.0,0.0,0.19752541656756836,0.12073872429328986
1,0.0,0.0,0.19752541656756836,0.1206352722000842
2,0.0,0.0,0.19752541656756836,0.12053179551393418
3,1.0,1.0,0.7777240944749167,0.12042829419433887
4,8.0,8.0,4.839114839826355,0.12032476820483788
5,-7.0,-7.0,-3.86386532878387,0.12022121751301101
6,3.0,3.0,1.9381214502896136,0.12011764209048248
7,0.0,0.0,0.19752541656756836,0.12001404191291197
8,0.0,0.0,0.19752541656756836,0.11991041695999789
9,0.0,0.0,0.19752541656756836,0.1198067672154315
10,0.0,0.0,0.19752541656756836,0.11970309266670026
11,0.0,0.0,0.19752541656756836,0.1195993933049869
12,0.0,0.0,0.19752541656756836,0.11949566912496103
13,0.0,0.0,0.19752541656756836,0.11939192012453667
14,0.0,0.0,0.19752541656756836,0.11928814630487715
15,0.0,0.0,0.19752541656756836,0.11918434767065927
16,0.0,0.0,0.19752541656756836,0.11908052422997405
17,0.0,0.0,0.19752541656756836,0.11897667599429422
18,0.0,0.0,0.19752541656756836,0.11887280297861313
19,0.0,0.0,0.19752541656756836,0.1187689052014495
20,0.0,0.0,0.19752541656756836,0.11866498268482543
21,0.0,0.0,0.19752541656756836,0.1185610354542349
22,0.0,0.0,0.19752541656756836,0.11845706353861528
23,0.0,0.0,0.19752541656756836,0.11835306697031886
24,0.0,0.0,0.19752541656756836,0.11824904578507929
25,0.0,0.0,0.19752541656756836,0.11814500002198287
26,0.0,0.0,0.19752541656756836,0.1180409297234369
27,0.0,0.0,0.19752541656756836,0.11793683493506352
28,0.0,0.0,0.19752541656756836,0.1178327157053656
29,0.0,0.0,0.19752541656756836,0.11772857208555913
30,0.0,0.0,0.19752541656756836,0.11762440412930149
31,0.0,0.0,0.19752541656756836,0.11752021189259011
32,0.0,0.0,0.19752541656756836,0.11741599543378128
33,0.0,0.0,0.19752541656756836,0.11731175481378002
34,0.0,0.0,0.19752541656756836,0.11720749009605984
35,0.0,0.0,0.19752541656756836,0.11710320134667508
36,0.0,0.0,0.19752541656756836,0.11699888863444305
37,0.0,0.0,0.19752541656756836,0.11689455203095932
38,0.0,0.0,0.19752541656756836,0.11679019161050459
39,-3.0,-3.0,-1.5430706171544766,0.11668580744977548
40,0.0,0.0,0.19752541656756836,0.11658139962769626
41,2.0,2.0,1.357922772382265,0.11647696822500156
42,0.0,0.0,0.19752541656756836,0.11637251332406642
43,-3.0,-3.0,-1.5430706171544766,0.11626803500872727
44,0.0,0.0,0.19752541656756836,0.11616353336420829
45,0.0,0.0,0.19752541656756836,0.11605900847706681
46,0.0,0.0,0.19752541656756836,0.11595446043509042
47,-1.0,-1.0,-0.38267326133977997,0.11584988932697309
48,0.0,0.0,0.19752541656756836,0.11574529524220992
49,0.0,0.0,0.19752541656756836,0.11564067827104349
50,0.0,0.0,0.19752541656756836,0.11553603850435637
51,0.0,0.0,0.19752541656756836,0.11543137603341906
52,0.0,0.0,0.19752541656756836,0.11532669095004693
53,0.0,0.0,0.19752541656756836,0.11522198334661679
54,0.0,0.0,0.19752541656756836,0.11511725331599389
55,-1.0,-1.0,-0.38267326133977997,0.11501250095134752
56,0.0,0.0,0.19752541656756836,0.11490772634607666
57,-4.0,-4.0,-2.123269295061825,0.11480292959376179
58,0.0,0.0,0.19752541656756836,0.11469811078811988
59,2.0,2.0,1.357922772382265,0.11459327002295981
60,-2.0,-2.0,-0.9628719392471283,0.11448840739213743
61,0.0,0.0,0.19752541656756836,0.1143835229896053
62,-1.0,-1.0,-0.38267326133977997,0.11427861690966375
63,0.0,0.0,0.19752541656756836,0.11417368924658985
64,0.0,0.0,0.19752541656756836,0.11406874009437123
65,-2.0,-2.0,-0.9628719392471283,0.11396376954663341
66,0.0,0.0,0.19752541656756836,0.11385877769659078
67,0.0,0.0,0.19752541656756836,0.11375376463700919
68,0.0,0.0,0.19752541656756836,0.11364873046015991
69,0.0,0.0,0.19752541656756836,0.11354367525777857
70,-3.0,-3.0,-1.5430706171544766,0.11343859912101928
71,-1.0,-1.0,-0.38267326133977997,0.11333350214060124
72,0.0,0.0,0.19752541656756836,0.11322838440753759
73,1.0,1.0,0.7777240944749167,0.11312324601336698
74,0.0,0.0,0.19752541656756836,0.11301808704998675
75,-1.0,-1.0,-0.38267326133977997,0.11291290760945398
76,0.0,0.0,0.19752541656756836,0.11280770778387872
77,1.0,1.0,0.7777240944749167,0.11270248766528826
78,4.0,4.0,2.518320128196962,0.11259724734567776
79,-3.0,-3.0,-1.5430706171544766,0.11249198691699129
80,0.0,0.0,0.19752541656756836,0.11238670647114275
81,0.0,0.0,0.19752541656756836,0.11228140610021053
82,0.0,0.0,0.19752541656756836,0.1121760858964574
83,0.0,0.0,0.19752541656756836,0.11207074595228213
84,-1.0,-1.0,-0.38267326133977997,0.11196538636018104
85,-2.0,-2.0,-0.9628719392471283,0.11186000721266813
86,0.0,0.0,0.19752541656756836,0.1117546086022386
87,0.0,0.0,0.19752541656756836,0.11164919062176294
88,0.0,0.0,0.19752541656756836,0.11154375336456578
89,1.0,1.0,0.7777240944749167,0.11143829692440929
90,0.0,0.0,0.19752541656756836,0.11133282139573887
91,0.0,0.0,0.19752541656756836,0.1112273268743589
92,0.0,0.0,0.19752541656756836,0.11112181345755948
93,0.0,0.0,0.19752541656756836,0.11101628124407623
94,0.0,0.0,0.19752541656756836,0.11091073033404922
95,0.0,0.0,0.19752541656756836,0.11080516082897941
96,1.0,1.0,0.7777240944749167,0.11069957283168748
