,vader,vader_rstd,vader_rzstd,vader_smalowess_rzstd
0,0.0,0.0,-0.06158084165761212,0.01938245504415023
1,0.0,0.0,-0.06158084165761212,0.0193720042165513
2,0.4588,2.6893317702227426,1.126500585132273,0.019361595571756318
3,-0.2923,-1.7133645955451346,-0.8185036861447165,0.01935122916706419
4,0.0,0.0,-0.06158084165761212,0.019340905059137086
5,0.0,0.0,-0.06158084165761212,0.01933062330412132
6,0.0,0.0,-0.06158084165761212,0.019320383957336165
7,0.0,0.0,-0.06158084165761212,0.019310187072692594
8,0.0,0.0,-0.06158084165761212,0.019300032700999958
9,0.0,0.0,-0.06158084165761212,0.019289920889234053
10,0.9040999999999999,5.2995310668229765,2.279623207951662,0.01927985167962371
11,0.5994,3.51348182883939,1.4905900546323991,0.01926982510963342
12,0.0,0.0,-0.06158084165761212,0.01925984121186143
13,-0.5106,-2.992966002344666,-1.383800494052807,0.019249900013840308
14,-0.1531,-0.8974208675263774,-0.4580395740933824,0.019240001537572705
15,0.4404,2.5814771395076197,1.0788530300910046,0.01923014579826288
16,-0.5719,-3.352286049237983,-1.542539359489206,0.019220332804155794
17,-0.4215,-2.4706916764361075,-1.153072387847535,0.01921056255756088
18,-0.5719,-3.352286049237983,-1.542539359489206,0.01920083505508048
19,0.0,0.0,-0.06158084165761212,0.01919115028809231
20,0.0,0.0,-0.06158084165761212,0.019181508243490256
21,-0.5794,-3.3962485345838216,-1.5619609172505928,0.019171908903637
22,0.2263,1.3264947245017582,0.5244322945292906,0.019162352245913648
23,0.0,0.0,-0.06158084165761212,0.01915283824246579
24,0.0,0.0,-0.06158084165761212,0.01914336686009116
25,-0.2889,-1.6934349355216878,-0.8096992466262211,0.019133938060374188
26,-0.296,-1.7350527549824146,-0.828084987973667,0.019124551799835323
27,0.0,0.0,-0.06158084165761212,0.019115208030779356
28,-0.296,-1.7350527549824146,-0.828084987973667,0.019105906701590108
29,0.6369,3.733294255568581,1.5876978434393318,0.019096647757642478
30,0.0,0.0,-0.06158084165761212,0.019087431142516802
31,0.0,0.0,-0.06158084165761212,0.019078256799050026
32,0.0,0.0,-0.06158084165761212,0.019069124669661628
33,0.9021,5.28780773739742,2.27444412588196,0.019060034696380956
34,0.4404,2.5814771395076197,1.0788530300910046,0.019050986820842872
35,0.128,0.7502930832356388,0.2698804108033846,0.019041980984284113
36,0.0,0.0,-0.06158084165761212,0.01903301712753769
37,-0.296,-1.7350527549824146,-0.828084987973667,0.01902409519102901
38,-0.2023,-1.185814771395076,-0.5854449930080781,0.019015215114771642
39,0.0,0.0,-0.06158084165761212,0.01900637683836182
40,0.0,0.0,-0.06158084165761212,0.018997580300975765
41,0.4404,2.5814771395076197,1.0788530300910046,0.018988825441363065
42,0.0,0.0,-0.06158084165761212,0.018980112197843773
43,0.0,0.0,-0.06158084165761212,0.018971440508302767
44,0.0258,0.15123094958968344,0.00522931704155753,0.018962810310185808
45,0.2023,1.185814771395076,0.46228330969285375,0.01895422154049459
46,-0.655,-3.8393903868698707,-1.757730219485369,0.01894567413578257
47,0.8619,5.052168815943727,2.1703445762809275,0.018937168032149104
48,0.128,0.7502930832356388,0.2698804108033846,0.018928703165236236
49,0.0,0.0,-0.06158084165761212,0.01892027947022373
50,-0.3182,-1.8651817116060958,-0.8855727989473713,0.018911896881823133
51,-0.4404,-2.5814771395076197,-1.202014713406229,0.018903555334274628
52,0.0,0.0,-0.06158084165761212,0.018895254761341466
53,0.5859,3.434349355216881,1.4556312506619034,0.01888699509630544
54,0.5056,2.9636576787807734,1.247691105563325,0.018878776271961304
55,0.0,0.0,-0.06158084165761212,0.01887059822061406
56,0.0,0.0,-0.06158084165761212,0.018862460874071677
57,0.0,0.0,-0.06158084165761212,0.018854364163641987
58,0.0,0.0,-0.06158084165761212,0.018846308020126483
59,-0.4019,-2.35580304806565,-1.1023173835644446,0.018838292373817515
60,-1.9672000000000003,-11.531066822977726,-5.155725965417556,0.01883031715449085
61,0.3818,2.2379835873388036,0.9271059254487046,0.018822382291402776
62,0.3905,2.288980070339976,0.949634932451913,0.018814487713284273
63,0.3124,1.831184056271981,0.7473917776300081,0.018806633348336554
64,0.2981,1.7473622508792492,0.7103613408316309,0.01879881912422587
65,0.2732,1.6014067995310666,0.6458817690638278,0.018791044968078523
66,0.2263,1.3264947245017582,0.5244322945292906,0.01878331080647618
67,0.5267,3.0873388042203977,1.3023304213986922,0.018775616565450685
68,0.0,0.0,-0.06158084165761212,0.018767962170479154
69,0.019600000000000006,0.11488862837045723,-0.010825837374521982,0.018760347546479244
70,0.0,0.0,-0.06158084165761212,0.018752772617803868
71,-0.6183000000000001,-3.6242672919109027,-1.6626940635063177,0.018745237308236237
72,0.0,0.0,-0.06158084165761212,0.018737741540984884
73,-0.4404,-2.5814771395076197,-1.202014713406229,0.01873028523867895
74,-1.0933000000000002,-6.408558030480656,-2.8927260550607983,0.018722868323362823
75,-0.4019,-2.35580304806565,-1.1023173835644446,0.018715490716490816
76,-0.49829999999999997,-2.9208675263774904,-1.3519491393241327,0.018708152338923194
77,0.0,0.0,-0.06158084165761212,0.018700853110920145
78,0.0,0.0,-0.06158084165761212,0.01869359295213708
79,0.0,0.0,-0.06158084165761212,0.01868637178161957
80,0.061500000000000055,0.3604923798358736,0.09767593198575752,0.018679189517798688
81,-0.13879999999999998,-0.8135990621336457,-0.4210091372950054,0.01867204607848529
82,0.0,0.0,-0.06158084165761212,0.018664941380865333
83,0.0,0.0,-0.06158084165761212,0.018657875341494976
84,0.0,0.0,-0.06158084165761212,0.01865084787629515
