,syuzhetr_nrc,syuzhetr_nrc_rstd,syuzhetr_nrc_rzstd,syuzhetr_nrc_smalowess_rzstd
0,0.0,0.0,0.031674104945872326,0.046629266177100254
1,0.0,0.0,0.031674104945872326,0.04648356980715464
2,-1.0,-1.0,-1.0857485869599024,0.04633791350672102
3,1.0,1.0,1.149096796851647,0.04619229742361792
4,1.0,1.0,1.149096796851647,0.046046721706605516
5,1.0,1.0,1.149096796851647,0.045901186505356815
6,3.0,3.0,3.383942180663196,0.04575569197042644
7,0.0,0.0,0.031674104945872326,0.04561023825329781
8,0.0,0.0,0.031674104945872326,0.04546482550666791
9,0.0,0.0,0.031674104945872326,0.04531945388433672
10,0.0,0.0,0.031674104945872326,0.04517412354055346
11,0.0,0.0,0.031674104945872326,0.045028834629755606
12,0.0,0.0,0.031674104945872326,0.044883587306232396
13,0.0,0.0,0.031674104945872326,0.044738381724022246
14,0.0,0.0,0.031674104945872326,0.04459321803696108
15,0.0,0.0,0.031674104945872326,0.044448096398956104
16,0.0,0.0,0.031674104945872326,0.0443030169640326
17,0.0,0.0,0.031674104945872326,0.04415797988645816
18,0.0,0.0,0.031674104945872326,0.044012985321167576
19,0.0,0.0,0.031674104945872326,0.04386803342320835
20,0.0,0.0,0.031674104945872326,0.04372312434734003
21,0.0,0.0,0.031674104945872326,0.04357825824830115
22,0.0,0.0,0.031674104945872326,0.04343343528107596
23,0.0,0.0,0.031674104945872326,0.043288655600644675
24,0.0,0.0,0.031674104945872326,0.043143919361880965
25,0.0,0.0,0.031674104945872326,0.04299922671945341
26,0.0,0.0,0.031674104945872326,0.042854577827512765
27,0.0,0.0,0.031674104945872326,0.04270997283952902
28,0.0,0.0,0.031674104945872326,0.042565411907936265
29,0.0,0.0,0.031674104945872326,0.042420895183647535
30,0.0,0.0,0.031674104945872326,0.042276422815386884
31,0.0,0.0,0.031674104945872326,0.042131994949526776
32,0.0,0.0,0.031674104945872326,0.0419876117301177
33,0.0,0.0,0.031674104945872326,0.04184327329903466
34,0.0,0.0,0.031674104945872326,0.04169897979600399
35,0.0,0.0,0.031674104945872326,0.04155473135858689
36,0.0,0.0,0.031674104945872326,0.041410528122166224
37,0.0,0.0,0.031674104945872326,0.04126637021992923
38,0.0,0.0,0.031674104945872326,0.041122257782899685
39,1.0,1.0,1.149096796851647,0.04097819094009923
40,1.0,1.0,1.149096796851647,0.04083416981857665
41,1.0,1.0,1.149096796851647,0.04069019454343861
42,0.0,0.0,0.031674104945872326,0.04054626523803178
43,0.0,0.0,0.031674104945872326,0.040402382023973955
44,-1.0,-1.0,-1.0857485869599024,0.04025854502118637
45,2.0,2.0,2.2665194887574214,0.040114754348092
46,0.0,0.0,0.031674104945872326,0.039971010121593945
47,0.0,0.0,0.031674104945872326,0.03982731245684198
48,0.0,0.0,0.031674104945872326,0.03968366146721206
49,1.0,1.0,1.149096796851647,0.03954005726449511
50,-1.0,-1.0,-1.0857485869599024,0.03939649995887693
51,1.0,1.0,1.149096796851647,0.03925298965876271
52,0.0,0.0,0.031674104945872326,0.03910952647091039
53,1.0,1.0,1.149096796851647,0.03896611050045898
54,-1.0,-1.0,-1.0857485869599024,0.03882274185090842
55,0.0,0.0,0.031674104945872326,0.03867942062420993
56,0.0,0.0,0.031674104945872326,0.03853614692119435
57,-3.0,-3.0,-3.3205939707714514,0.03839292084165686
58,0.0,0.0,0.031674104945872326,0.038249742484335686
59,1.0,1.0,1.149096796851647,0.03810661194688437
60,0.0,0.0,0.031674104945872326,0.03796352932584881
61,-2.0,-2.0,-2.203171278865677,0.037820494716700806
62,1.0,1.0,1.149096796851647,0.03767750821399199
63,0.0,0.0,0.031674104945872326,0.037534569911046194
64,0.0,0.0,0.031674104945872326,0.03739167989945894
65,-1.0,-1.0,-1.0857485869599024,0.03724883826897165
66,0.0,0.0,0.031674104945872326,0.0371060451073701
67,1.0,1.0,1.149096796851647,0.036963300500113525
68,0.0,0.0,0.031674104945872326,0.03682060453011669
69,-1.0,-1.0,-1.0857485869599024,0.03667795727770777
70,-1.0,-1.0,-1.0857485869599024,0.03653535882061707
71,0.0,0.0,0.031674104945872326,0.036392809234069005
72,0.0,0.0,0.031674104945872326,0.03625030859118894
73,0.0,0.0,0.031674104945872326,0.03610785696308848
74,0.0,0.0,0.031674104945872326,0.035965454418808246
75,0.0,0.0,0.031674104945872326,0.035823101025140566
76,0.0,0.0,0.031674104945872326,0.035680796846540665
77,1.0,1.0,1.149096796851647,0.03553854194501231
78,0.0,0.0,0.031674104945872326,0.03539633638015919
79,1.0,1.0,1.149096796851647,0.035254180209049045
80,0.0,0.0,0.031674104945872326,0.0351120734860947
81,0.0,0.0,0.031674104945872326,0.03497001626311542
82,0.0,0.0,0.031674104945872326,0.034828008589348404
83,0.0,0.0,0.031674104945872326,0.03468605051143598
84,0.0,0.0,0.031674104945872326,0.03454414207344171
85,-1.0,-1.0,-1.0857485869599024,0.03440228331695389
86,0.0,0.0,0.031674104945872326,0.03426047428113235
87,0.0,0.0,0.031674104945872326,0.03411871500283131
88,0.0,0.0,0.031674104945872326,0.03397700551661567
89,1.0,1.0,1.149096796851647,0.03383534585478215
90,0.0,0.0,0.031674104945872326,0.03369373604753786
91,0.0,0.0,0.031674104945872326,0.033552176123190176
92,0.0,0.0,0.031674104945872326,0.03341066610816827
93,1.0,1.0,1.149096796851647,0.03326920602700329
94,0.0,0.0,0.031674104945872326,0.033127795902305975
95,-1.0,-1.0,-1.0857485869599024,0.032986435754792195
96,0.0,0.0,0.031674104945872326,0.032845125603440474
