,sentimentr_jockersrinker,sentimentr_jockersrinker_rstd,sentimentr_jockersrinker_rzstd,sentimentr_jockersrinker_smalowess_rzstd
0,0.0,0.0,0.10147519160659167,-0.04827562624515956
1,-0.06933752452815364,-0.7337993857053429,-0.18301820200207375,-0.04830707613556378
2,-0.11470786693528087,-1.2139539573337679,-0.36917371834661555,-0.048338495310182444
3,0.17650452162436564,1.8679482779859753,0.8256771397710511,-0.048369883695850796
4,0.32142857142857145,3.4016802570830458,1.4203037149896234,-0.04840124121957395
5,-0.1469936830518334,-1.5556349186104046,-0.5016431345094882,-0.04843256780870311
6,0.05883484054145522,0.6226494259953251,0.34287584099474483,-0.048463863391033174
7,0.0,0.0,0.10147519160659167,-0.04849512789464591
8,0.0,0.0,0.10147519160659167,-0.048526361247071846
9,0.0,0.0,0.10147519160659167,-0.04855756337529556
10,0.0,0.0,0.10147519160659167,-0.04858873420637856
11,0.0,0.0,0.10147519160659167,-0.048619873667316946
12,0.0,0.0,0.10147519160659167,-0.04865098168504617
13,0.0,0.0,0.10147519160659167,-0.048682058186620816
14,0.0,0.0,0.10147519160659167,-0.04871310309934063
15,0.0,0.0,0.10147519160659167,-0.04874411635099095
16,0.0,0.0,0.10147519160659167,-0.048775097870133226
17,0.0,0.0,0.10147519160659167,-0.04880604758613235
18,0.0,0.0,0.10147519160659167,-0.04883696542899482
19,0.0,0.0,0.10147519160659167,-0.048867851329858686
20,0.0,0.0,0.10147519160659167,-0.0488987052212512
21,0.0,0.0,0.10147519160659167,-0.04892952703720351
22,0.0,0.0,0.10147519160659167,-0.048960316713461724
23,0.0,0.0,0.10147519160659167,-0.04899107418767056
24,0.0,0.0,0.10147519160659167,-0.04902179939948962
25,0.0,0.0,0.10147519160659167,-0.04905249229082571
26,0.0,0.0,0.10147519160659167,-0.04908315280593836
27,0.0,0.0,0.10147519160659167,-0.0491137808914818
28,0.0,0.0,0.10147519160659167,-0.049144376496544205
29,0.0,0.0,0.10147519160659167,-0.04917493957284451
30,0.0,0.0,0.10147519160659167,-0.04920547007493443
31,0.0,0.0,0.10147519160659167,-0.04923596796026994
32,0.0,0.0,0.10147519160659167,-0.04926643318924208
33,0.0,0.0,0.10147519160659167,-0.04929686572521177
34,0.0,0.0,0.10147519160659167,-0.04932726553454106
35,0.0,0.0,0.10147519160659167,-0.049357632586634
36,0.0,0.0,0.10147519160659167,-0.049387966853997003
37,0.0,0.0,0.10147519160659167,-0.049418268312265506
38,0.0,0.0,0.10147519160659167,-0.04944853694020341
39,0.1207019698150837,1.2773895795453454,0.5967180379819474,-0.049478772719822234
40,-0.04743416490252569,-0.5019960159204453,-0.09314823399080219,-0.04950897563642727
41,0.3478505426185217,3.6813041167499327,1.5287136459874802,-0.04953914567865534
42,0.0,0.0,0.10147519160659167,-0.04956928283849557
43,-0.75,-7.937253933193772,-2.975791362953815,-0.0495993871113061
44,-0.36080267658177295,-3.818376618407357,-1.3789061543146954,-0.04962945849580289
45,-0.20412414523193154,-2.1602468994692874,-0.7360506818606806,-0.04965949699397275
46,0.0,0.0,0.10147519160659167,-0.0496895026110875
47,-0.20207259421636903,-2.1385353243127256,-0.7276331227604605,-0.04971947535580183
48,0.0,0.0,0.10147519160659167,-0.04974941524014323
49,0.0,0.0,0.10147519160659167,-0.04977932227935808
50,0.0,0.0,0.10147519160659167,-0.04980919649185045
51,0.25,2.6457513110645907,1.127230709793394,-0.04983903789897128
52,0.0,0.0,0.10147519160659167,-0.04986884652466081
53,-0.4932438278217077,-5.220002016535202,-1.922315121192199,-0.04989862239540247
54,-0.20412414523193154,-2.1602468994692874,-0.7360506818606806,-0.049928365540216464
55,-0.17677669529663687,-1.8708286933869707,-0.6238434911428172,-0.049958075990415386
56,0.0,0.0,0.10147519160659167,-0.04998775377925551
57,-0.3818813079129867,-4.041451884327381,-1.4653922439299663,-0.05001739894189955
58,-0.10206207261596577,-1.0801234497346437,-0.31728774512704444,-0.05004701151542685
59,0.2598076211353316,2.7495454169735045,1.1674715957928017,-0.05007659153870861
60,0.0917662935482247,0.9711631658670145,0.4779943195691575,-0.05010613905241578
61,0.0,0.0,0.10147519160659167,-0.05013565409900308
62,-0.0545544725589981,-0.5773502691896258,-0.12236301347005946,-0.05016513672251793
63,0.0,0.0,0.10147519160659167,-0.050194586968780465
64,0.0,0.0,0.10147519160659167,-0.05022400488558406
65,-0.1563858105428061,-1.6550318531021118,-0.540179240915005,-0.050253390522772536
66,0.0,0.0,0.10147519160659167,-0.05028274393231001
67,-0.125,-1.3228756555322954,-0.41140256748680953,-0.05031206516838848
68,0.0,0.0,0.10147519160659167,-0.050341354287346825
69,-0.25,-2.6457513110645907,-0.9242803265802106,-0.050370611347682975
70,-0.22613350843332272,-2.3931721056523974,-0.8263555848830988,-0.05039983641010116
71,0.0,0.0,0.10147519160659167,-0.050429029537461055
72,0.0,0.0,0.10147519160659167,-0.050458190794436565
73,0.1101976563341456,1.1662223748892437,0.5536186079106024,-0.05048732024747028
74,0.0,0.0,0.10147519160659167,-0.050516417964901195
75,-0.1735055234471418,-1.836209864548894,-0.6104218008405896,-0.05054548401732117
76,0.0,0.0,0.10147519160659167,-0.05057451847772136
77,0.263828093951146,2.792094101867666,1.1839676844989682,-0.0506035214215568
78,-0.1387403661684135,-1.4682900227506457,-0.46777959316343914,-0.05063249292654635
79,-0.3326528141123145,-3.5204664762679267,-1.2634066472577092,-0.050661433072708345
80,0.0,0.0,0.10147519160659167,-0.05069034194261334
81,0.0,0.0,0.10147519160659167,-0.05071921962138259
