,syuzhetr_afinn,syuzhetr_afinn_rstd,syuzhetr_afinn_rzstd,syuzhetr_afinn_smalowess_rzstd
3327,0,0.0,0.19153483740422575,-0.025231631827525206
3328,0,0.0,0.19153483740422575,-0.02539296535655993
3329,-2,-2.0,-1.018630671936046,-0.025553855927434185
3330,-2,-2.0,-1.018630671936046,-0.025714304630998285
3331,0,0.0,0.19153483740422575,-0.025874312557014726
3332,-2,-2.0,-1.018630671936046,-0.026033880794865145
3333,0,0.0,0.19153483740422575,-0.02619301042755858
3334,0,0.0,0.19153483740422575,-0.026351702523433492
3335,0,0.0,0.19153483740422575,-0.026509958133707028
3336,0,0.0,0.19153483740422575,-0.026667778297029283
3337,-2,-2.0,-1.018630671936046,-0.026825164043773813
3338,-2,-2.0,-1.018630671936046,-0.02698211639899174
3339,-2,-2.0,-1.018630671936046,-0.027138636383284398
3340,0,0.0,0.19153483740422575,-0.027294725007073434
3341,0,0.0,0.19153483740422575,-0.02745038326953417
3342,2,2.0,1.4017003467444975,-0.027605612156103135
3343,-3,-3.0,-1.6237134266061821,-0.027760412644001784
3344,3,3.0,2.0067831014146336,-0.027914785711258334
3345,0,0.0,0.19153483740422575,-0.028068732346378713
3346,-3,-3.0,-1.6237134266061821,-0.028222253545564378
3347,-5,-5.0,-2.833878935946454,-0.028375350321193513
3348,-3,-3.0,-1.6237134266061821,-0.028528023707471126
3349,0,0.0,0.19153483740422575,-0.028680274753356397
3350,0,0.0,0.19153483740422575,-0.028832104500969697
3351,2,2.0,1.4017003467444975,-0.028983513981464776
3352,-2,-2.0,-1.018630671936046,-0.02913450421692295
3353,0,0.0,0.19153483740422575,-0.029285076224064892
3354,0,0.0,0.19153483740422575,-0.029435231018967622
3355,0,0.0,0.19153483740422575,-0.029584969603197207
3356,-1,-1.0,-0.41354791726591017,-0.029734292963032705
3357,0,0.0,0.19153483740422575,-0.029883202070249703
3358,0,0.0,0.19153483740422575,-0.03003169788720082
3359,0,0.0,0.19153483740422575,-0.03017978136846816
3360,-4,-4.0,-2.228796181276318,-0.030327453463809835
3361,-1,-1.0,-0.41354791726591017,-0.0304747151224615
3362,0,0.0,0.19153483740422575,-0.03062156730448056
3363,-4,-4.0,-2.228796181276318,-0.030768010971372488
3364,0,0.0,0.19153483740422575,-0.03091404706969025
3365,-4,-4.0,-2.228796181276318,-0.031059676530913488
3366,-4,-4.0,-2.228796181276318,-0.031204900262122134
3367,0,0.0,0.19153483740422575,-0.03134971914242267
3368,-3,-3.0,-1.6237134266061821,-0.0314941340074729
3369,0,0.0,0.19153483740422575,-0.03163814563571673
3370,0,0.0,0.19153483740422575,-0.031781754746585254
3371,0,0.0,0.19153483740422575,-0.031924961996173826
3372,0,0.0,0.19153483740422575,-0.03206776798155802
3373,0,0.0,0.19153483740422575,-0.032210173245768976
3374,-1,-1.0,-0.41354791726591017,-0.032352178284170564
3375,-3,-3.0,-1.6237134266061821,-0.032493783552804086
