,syuzhetr_bing,syuzhetr_bing_rstd,syuzhetr_bing_rzstd,syuzhetr_bing_smalowess_rzstd
0,0,0.0,0.1303788104703061,0.07033437669498971
1,-1,-1.0,-0.9235165741646684,0.07025527154982045
2,0,0.0,0.1303788104703061,0.07017622761069432
3,-1,-1.0,-0.9235165741646684,0.0700972450535605
4,0,0.0,0.1303788104703061,0.07001832405158867
5,0,0.0,0.1303788104703061,0.06993946477603405
6,0,0.0,0.1303788104703061,0.06986066739630141
7,1,1.0,1.1842741951052806,0.0697819320803504
8,0,0.0,0.1303788104703061,0.06970325899648688
9,0,0.0,0.1303788104703061,0.06962464831306797
10,2,2.0,2.238169579740255,0.06954610019821829
11,1,1.0,1.1842741951052806,0.06946761481971378
12,0,0.0,0.1303788104703061,0.06938919234487417
13,-1,-1.0,-0.9235165741646684,0.06931083294079347
14,-3,-3.0,-3.031307343434617,0.06923253677542886
15,0,0.0,0.1303788104703061,0.06915430401714712
16,-1,-1.0,-0.9235165741646684,0.06907613483410899
17,-1,-1.0,-0.9235165741646684,0.0689980293926729
18,0,0.0,0.1303788104703061,0.06891998785632555
19,0,0.0,0.1303788104703061,0.0688420103854271
20,0,0.0,0.1303788104703061,0.06876409713710901
21,-3,-3.0,-3.031307343434617,0.06868624826532822
22,0,0.0,0.1303788104703061,0.06860846392137698
23,0,0.0,0.1303788104703061,0.06853074425393521
24,0,0.0,0.1303788104703061,0.06845308940896579
25,0,0.0,0.1303788104703061,0.06837549952961525
26,-1,-1.0,-0.9235165741646684,0.06829797475611273
27,0,0.0,0.1303788104703061,0.06822051522566704
28,-1,-1.0,-0.9235165741646684,0.06814312107222693
29,1,1.0,1.1842741951052806,0.06806579242580493
30,0,0.0,0.1303788104703061,0.06798852941210697
31,1,1.0,1.1842741951052806,0.06791133215204438
32,-1,-1.0,-0.9235165741646684,0.0678342007620339
33,2,2.0,2.238169579740255,0.06775713535403692
34,0,0.0,0.1303788104703061,0.06768013603546807
35,0,0.0,0.1303788104703061,0.06760320290923927
36,0,0.0,0.1303788104703061,0.06752633607434966
37,-3,-3.0,-3.031307343434617,0.06744953562649475
38,0,0.0,0.1303788104703061,0.06737280165797299
