,pysentimentr_jockersrinker,pysentimentr_jockersrinker_rstd,pysentimentr_jockersrinker_rzstd,pysentimentr_jockersrinker_smalowess_rzstd
0,0.6,0.6666666666666666,0.7838190046254064,0.06059106129392225
1,-0.5,-0.5555555555555556,-0.6532754320318749,0.060512420601177425
2,0.25,0.2777777777777778,0.32656168387081697,0.060433922243734436
3,-0.5,-0.5555555555555556,-0.6532754320318749,0.06035556662587669
4,0.0,0.0,-5.068809674699342e-05,0.060277354142114506
5,0.0,0.0,-5.068809674699342e-05,0.06019928517744083
6,0.0,0.0,-5.068809674699342e-05,0.060121360107377265
7,-0.25,-0.2777777777777778,-0.32666306006431095,0.06004357929823323
8,-0.25,-0.2777777777777778,-0.32666306006431095,0.05996594310814743
9,0.4,0.4444444444444445,0.5225291070513554,0.059888451887184294
10,1.25,1.3888888888888888,1.6330111717410727,0.05981110597729215
11,0.75,0.8333333333333333,0.9797864278059448,0.05973390571228666
12,0.0,0.0,-5.068809674699342e-05,0.05965685141784714
13,-1.0,-1.1111111111111112,-1.3065001759670027,0.05957994341161071
14,-2.5,-2.7777777777777777,-3.2661744077723864,0.059503182003577605
15,0.0,0.0,-5.068809674699342e-05,0.05942656749614892
16,-0.75,-0.8333333333333333,-0.9798878039994388,0.05935010018387509
17,-0.75,-0.8333333333333333,-0.9798878039994388,0.059273780352550064
18,-0.5,-0.5555555555555556,-0.6532754320318749,0.05919760827896006
19,-0.25,-0.2777777777777778,-0.32666306006431095,0.05912158423053377
20,-0.6,-0.6666666666666666,-0.7839203808189005,0.05904570846473002
21,-1.75,-1.9444444444444444,-2.2863372918696947,0.05896998122890032
22,0.0,0.0,-5.068809674699342e-05,0.0588944027603346
23,-1.0,-1.1111111111111112,-1.3065001759670027,0.058818973286261185
24,-0.5,-0.5555555555555556,-0.6532754320318749,0.05874369302382706
25,-1.0,-1.1111111111111112,-1.3065001759670027,0.05866856218008026
26,-0.9,-1.0,-1.1758552271799771,0.058593580951849286
27,-0.4,-0.4444444444444445,-0.5226304832448493,0.058518749525332016
28,-0.5,-0.5555555555555556,-0.6532754320318749,0.05844406807595768
29,0.75,0.8333333333333333,0.9797864278059448,0.05836953676836685
30,0.0,0.0,-5.068809674699342e-05,0.05829515575645459
31,0.8,0.888888888888889,1.0451089021994577,0.058220925183456416
32,-0.85,-0.9444444444444444,-1.1105327527864643,0.058146845182030345
33,0.5,0.5555555555555556,0.653174055838381,0.058072915874271824
34,0.5,0.5555555555555556,0.653174055838381,0.05799913737176998
35,0.0,0.0,-5.068809674699342e-05,0.057925509775496695
36,0.0,0.0,-5.068809674699342e-05,0.05785203317559588
37,-1.15,-1.2777777777777777,-1.5024675991475411,0.05777870765133597
38,-0.5,-0.5555555555555556,-0.6532754320318749,0.057705533271356864
39,0.0,0.0,-5.068809674699342e-05,0.05763251009380402
40,0.0,0.0,-5.068809674699342e-05,0.05755963816620264
41,0.75,0.8333333333333333,0.9797864278059448,0.05748691752542147
42,0.0,0.0,-5.068809674699342e-05,0.05741434819840953
43,0.0,0.0,-5.068809674699342e-05,0.05734193020234643
44,0.6,0.6666666666666666,0.7838190046254064,0.05726966354458616
45,1.6,1.777777777777778,2.0902684924956625,0.057197548222599134
46,-0.85,-0.9444444444444444,-1.1105327527864643,0.05712558422389238
47,1.5,1.6666666666666665,1.9596235437086367,0.057053771525907016
48,-0.75,-0.8333333333333333,-0.9798878039994388,0.056982110096040435
49,1.8,2.0,2.3515583900697137,0.05691059989128412
50,-1.1,-1.2222222222222223,-1.4371451247540286,0.05683924085807985
51,-0.5,-0.5555555555555556,-0.6532754320318749,0.056768032932271305
52,-0.5,-0.5555555555555556,-0.6532754320318749,0.05669697603913478
53,1.75,1.9444444444444444,2.2862359156762007,0.056626070093663244
54,-0.35,-0.38888888888888884,-0.45730800885133643,0.056555315000596275
55,0.4,0.4444444444444445,0.5225291070513554,0.05648471065436447
56,-0.6,-0.6666666666666666,-0.7839203808189005,0.056414256939034124
57,0.0,0.0,-5.068809674699342e-05,0.05634395372821358
58,0.0,0.0,-5.068809674699342e-05,0.05627380088470979
59,-1.25,-1.3888888888888888,-1.6331125479345667,0.05620379825993848
60,-3.3,-3.6666666666666665,-4.311333998068591,0.0561339456937529
61,-0.4,-0.4444444444444445,-0.5226304832448493,0.05606424301438192
62,2.1,2.3333333333333335,2.7434932364307905,0.055994690038386016
63,0.2500000000000001,0.2777777777777779,0.32656168387081713,0.05592528657062006
64,-0.5,-0.5555555555555556,-0.6532754320318749,0.05585603240419311
65,0.8,0.888888888888889,1.0451089021994577,0.05578692732041626
66,0.25,0.2777777777777778,0.32656168387081697,0.05571797108877849
67,0.35,0.38888888888888884,0.4572066326578425,0.05564916346698798
68,0.6,0.6666666666666666,0.7838190046254064,0.05558050420105047
69,0.050000000000000044,0.0555555555555556,0.06527178629676585,0.0555119930252861
70,0.0,0.0,-5.068809674699342e-05,0.05544362966251253
71,-0.95,-1.0555555555555556,-1.24117770157349,0.05537541382447679
72,1.0,1.1111111111111112,1.306398799773509,0.05530734521231716
73,-0.75,-0.8333333333333333,-0.9798878039994388,0.05523942351691849
74,-1.5,-1.6666666666666665,-1.9597249199021305,0.05517164841909681
75,0.75,0.8333333333333333,0.9797864278059448,0.055104019590251456
76,0.30000000000000004,0.33333333333333337,0.3918841582643298,0.055036536692482464
77,0.25,0.2777777777777778,0.32656168387081697,0.05496919937852697
78,0.9,1.0,1.1757538509864833,0.054902007291693526
79,0.35,0.38888888888888884,0.4572066326578425,0.05483496006580287
