,textblob,textblob_rstd,textblob_rzstd,textblob_smalowess_rzstd
0,0.0,0.0,-0.13665593429217587,0.057002541535105464
1,-0.725,-7.249999999999999,-2.259526880261704,0.05688430546280493
2,-0.1,-1.0,-0.42946571994314536,0.056766101118280024
3,-0.6999999999999998,-6.999999999999998,-2.1863244338489616,0.05664792854268439
4,0.0,0.0,-0.13665593429217587,0.05652978777257775
5,0.0,0.0,-0.13665593429217587,0.056411678840132845
6,0.0,0.0,-0.13665593429217587,0.05629360177319921
7,0.4,4.0,1.034583208311702,0.05617555659542042
8,-0.1875,-1.875,-0.6856742823877436,0.0560575433265261
9,-0.05555555555555558,-0.5555555555555558,-0.29932803743160347,0.05593956198253018
10,0.8,8.0,2.20582235091558,0.055821612575826816
11,1.05,10.5,2.9378468150430033,0.055703695115271096
12,0.0,0.0,-0.13665593429217587,0.05558580960625837
13,-0.7,-6.999999999999999,-2.1863244338489616,0.055467956050806545
14,-0.16666666666666666,-1.6666666666666665,-0.6246722437104583,0.055350134447586824
15,0.7000000000000001,7.0,1.9130125652646104,0.05523234479181241
16,-0.8,-8.0,-2.4791342194999317,0.05511458707508665
17,-0.1875,-1.875,-0.6856742823877436,0.05499686128476252
18,0.0,0.0,-0.13665593429217587,0.05487916740392541
19,0.0,0.0,-0.13665593429217587,0.05476150541188074
20,0.0,0.0,-0.13665593429217587,0.054643875284426977
21,-0.2916666666666667,-2.9166666666666665,-0.9906844757741702,0.054526276994042513
22,0.5,5.0,1.3273929939626716,0.0544087105103194
23,0.0,0.0,-0.13665593429217587,0.05429117580013218
24,0.0,0.0,-0.13665593429217587,0.054173672827723646
25,0.3666666666666667,3.666666666666667,0.9369799464280455,0.054056201554789754
26,0.0,0.0,-0.13665593429217587,0.0539387619405832
27,0.0,0.0,-0.13665593429217587,0.05382135394208296
28,0.0,0.0,-0.13665593429217587,0.05370397751409736
29,0.5,5.0,1.3273929939626716,0.05358663260943547
30,0.0,0.0,-0.13665593429217587,0.05346931917915965
31,0.0,0.0,-0.13665593429217587,0.05335203717199732
32,-0.2,-2.0,-0.7222755055941148,0.05323478653385089
33,0.8125,8.125,2.242423574121951,0.05311756720777336
34,0.0,0.0,-0.13665593429217587,0.053000379134047725
35,-0.1,-1.0,-0.42946571994314536,0.05288322225042368
36,-0.25,-2.5,-0.8686803984195995,0.05276609649280011
37,0.45,4.5,1.1809881011371868,0.05264900179539579
38,-0.26666666666666666,-2.6666666666666665,-0.9174820293614278,0.052531938090884085
39,0.0,0.0,-0.13665593429217587,0.05241490530989599
40,0.0,0.0,-0.13665593429217587,0.05229790338081758
41,0.7,6.999999999999999,1.9130125652646102,0.05218093222930724
42,0.0,0.0,-0.13665593429217587,0.05206399177783986
43,0.0,0.0,-0.13665593429217587,0.0519470819452749
44,-0.2,-2.0,-0.7222755055941148,0.051830202646817515
45,0.66,6.6,1.7958886510042227,0.05171335379408254
46,0.23636363636363636,2.3636363636363633,0.5554399227010246,0.05159653529492229
47,0.5833333333333333,5.833333333333332,1.5714011486718125,0.05147974705252047
48,-0.2761363636363636,-2.7613636363636362,-0.9452102287601938,0.05136298896520403
49,0.2857142857142857,2.8571428571428568,0.6999434532820225,0.05124626092651692
50,-0.07692307692307693,-0.7692307692307693,-0.36189423094676776,0.05112956282527106
51,-0.5,-5.0,-1.600704862547023,0.051012894545591395
52,-0.1,-1.0,-0.42946571994314536,0.05089625596696021
53,0.75,7.5,2.059417458090095,0.05077964696422822
54,0.6000000000000001,6.000000000000001,1.6202027796136413,0.050663067407513765
55,0.0,0.0,-0.13665593429217587,0.05054651716217656
56,0.0,0.0,-0.13665593429217587,0.050429996088708746
57,0.0,0.0,-0.13665593429217587,0.05031350404267568
58,0.0,0.0,-0.13665593429217587,0.050197040874832094
59,-0.3,-2.9999999999999996,-1.015085291245084,0.050080606431538506
60,-0.3,-2.9999999999999996,-1.015085291245084,0.049964200554875174
61,0.5333333333333333,5.333333333333333,1.424996255846328,0.04984782308265547
62,0.2749999999999999,2.749999999999999,0.6685709762479899,0.04973147384880753
63,0.7,6.999999999999999,1.9130125652646102,0.049615152683522554
64,-0.2,-2.0,-0.7222755055941148,0.04949885941331169
65,0.0,0.0,-0.13665593429217587,0.04938259386107034
66,0.0,0.0,-0.13665593429217587,0.049266355846068234
67,0.6000000000000001,6.000000000000001,1.6202027796136413,0.04915014518373554
68,0.0,0.0,-0.13665593429217587,0.04903396168565182
69,-0.2,-2.0,-0.7222755055941148,0.048917805159601764
70,0.0,0.0,-0.13665593429217587,0.048801675409570366
71,0.0,0.0,-0.13665593429217587,0.048685572235491234
72,0.3333333333333333,3.333333333333333,0.8393766845443889,0.0485694954330625
73,0.0,0.0,-0.13665593429217587,0.04845344479373532
74,0.2,2.0,0.448963637009763,0.048337420104679105
75,0.0,0.0,-0.13665593429217587,0.048221421148810034
76,0.0,0.0,-0.13665593429217587,0.04810544770484277
77,0.0,0.0,-0.13665593429217587,0.047989499547339366
78,-0.25,-2.5,-0.8686803984195995,0.047873576446761656
79,0.045833333333333365,0.45833333333333365,-0.0024514492021481117,0.04775767816950148
80,0.5458333333333333,5.458333333333332,1.4615974790526989,0.04764180447784371
81,-0.4,-4.0,-1.3078950768960536,0.04752595513003485
82,0.0,0.0,-0.13665593429217587,0.04741012988048351
83,0.0,0.0,-0.13665593429217587,0.04729432847985134
84,0.0,0.0,-0.13665593429217587,0.04717855067510853
85,0.0,0.0,-0.13665593429217587,0.04706279620955001
86,0.0,0.0,-0.13665593429217587,0.046947064822696005
