,pysentimentr_nrc,pysentimentr_nrc_rstd,pysentimentr_nrc_rzstd,pysentimentr_nrc_smalowess_rzstd
0,0.0,0.0,0.0422256982293248,0.06438962291515332
1,0.0,0.0,0.0422256982293248,0.06424048350698708
2,-1.0,-1.0,-1.0568364986136407,0.06409137654005836
3,1.0,1.0,1.1412878950722902,0.06394230214175044
4,1.0,1.0,1.1412878950722902,0.06379326044097382
5,1.0,1.0,1.1412878950722902,0.06364425156814282
6,3.0,3.0,3.339412288758221,0.06349527565514496
7,0.0,0.0,0.0422256982293248,0.06334633283538746
8,0.0,0.0,0.0422256982293248,0.06319742324406193
9,0.0,0.0,0.0422256982293248,0.0630485470180402
10,0.0,0.0,0.0422256982293248,0.06289970429526277
11,0.0,0.0,0.0422256982293248,0.06275089521456181
12,0.0,0.0,0.0422256982293248,0.06260211991563701
13,0.0,0.0,0.0422256982293248,0.062453378539028694
14,0.0,0.0,0.0422256982293248,0.062304671226088584
15,0.0,0.0,0.0422256982293248,0.06215599811895647
16,0.0,0.0,0.0422256982293248,0.06200735936053194
17,0.0,0.0,0.0422256982293248,0.061858755094591544
18,0.0,0.0,0.0422256982293248,0.061710185466195146
19,0.0,0.0,0.0422256982293248,0.06156165062115662
20,0.0,0.0,0.0422256982293248,0.06141315070565158
21,0.0,0.0,0.0422256982293248,0.06126468586648491
22,0.0,0.0,0.0422256982293248,0.061116256251349706
23,0.0,0.0,0.0422256982293248,0.06096786200858669
24,0.0,0.0,0.0422256982293248,0.06081950328708482
25,0.0,0.0,0.0422256982293248,0.06067118023618508
26,0.0,0.0,0.0422256982293248,0.060522893005370525
27,0.0,0.0,0.0422256982293248,0.060374641744099504
28,0.0,0.0,0.0422256982293248,0.06022642660143971
29,0.0,0.0,0.0422256982293248,0.06007824772548419
30,0.0,0.0,0.0422256982293248,0.05993010526237514
31,0.0,0.0,0.0422256982293248,0.05978199935606453
32,0.0,0.0,0.0422256982293248,0.05963393014834872
33,0.0,0.0,0.0422256982293248,0.059485897779039856
34,0.0,0.0,0.0422256982293248,0.05933790238599675
35,0.0,0.0,0.0422256982293248,0.059189944105109915
36,0.0,0.0,0.0422256982293248,0.05904202307028665
37,0.0,0.0,0.0422256982293248,0.05889413941343503
38,0.0,0.0,0.0422256982293248,0.05874629326449872
39,1.0,1.0,1.1412878950722902,0.05859848475163957
40,1.0,1.0,1.1412878950722902,0.05845071400127101
41,1.0,1.0,1.1412878950722902,0.058302981138092486
42,0.0,0.0,0.0422256982293248,0.05815528628528774
43,0.0,0.0,0.0422256982293248,0.05800762956455742
44,-1.0,-1.0,-1.0568364986136407,0.05786001109615774
45,2.0,2.0,2.2403500919152557,0.05771243099910679
46,0.0,0.0,0.0422256982293248,0.057564889391165754
47,0.0,0.0,0.0422256982293248,0.05741738638859276
48,0.0,0.0,0.0422256982293248,0.05726992210612554
49,1.0,1.0,1.1412878950722902,0.057122496657179736
50,-1.0,-1.0,-1.0568364986136407,0.056975110153830645
51,1.0,1.0,1.1412878950722902,0.056827762706629106
52,0.0,0.0,0.0422256982293248,0.056680454424743884
53,1.0,1.0,1.1412878950722902,0.05653318541599402
54,-1.0,-1.0,-1.0568364986136407,0.056385955786828604
55,0.0,0.0,0.0422256982293248,0.056238765642421404
56,0.0,0.0,0.0422256982293248,0.05609161508710995
57,-3.0,-3.0,-3.254960892299572,0.0559445042244876
58,0.0,0.0,0.0422256982293248,0.055797433157378624
59,1.0,1.0,1.1412878950722902,0.055650401987817344
60,0.0,0.0,0.0422256982293248,0.05550341081702155
61,-2.0,-2.0,-2.155898695456606,0.05535645974543025
62,1.0,1.0,1.1412878950722902,0.0552095488728577
63,0.0,0.0,0.0422256982293248,0.05506267829818511
64,0.0,0.0,0.0422256982293248,0.054915848118840524
65,-1.0,-1.0,-1.0568364986136407,0.054769058430672514
66,0.0,0.0,0.0422256982293248,0.05462230932783684
67,1.0,1.0,1.1412878950722902,0.054475600902381356
68,0.0,0.0,0.0422256982293248,0.05432893324399005
69,-1.0,-1.0,-1.0568364986136407,0.05418230643993213
70,-1.0,-1.0,-1.0568364986136407,0.054035720575049406
71,0.0,0.0,0.0422256982293248,0.053889175731864095
72,0.0,0.0,0.0422256982293248,0.05374267199105077
73,0.0,0.0,0.0422256982293248,0.053596209431541794
74,0.0,0.0,0.0422256982293248,0.05344978813046248
75,0.0,0.0,0.0422256982293248,0.05330340816293583
76,0.0,0.0,0.0422256982293248,0.05315706960198129
77,1.0,1.0,1.1412878950722902,0.053010772518382515
78,0.0,0.0,0.0422256982293248,0.05286451698074767
79,1.0,1.0,1.1412878950722902,0.05271830305534772
80,0.0,0.0,0.0422256982293248,0.052572130805966746
81,0.0,0.0,0.0422256982293248,0.05242600029398387
82,0.0,0.0,0.0422256982293248,0.05227991157838987
83,0.0,0.0,0.0422256982293248,0.05213386471577394
84,0.0,0.0,0.0422256982293248,0.05198785976034334
85,-1.0,-1.0,-1.0568364986136407,0.051841896764049905
86,0.0,0.0,0.0422256982293248,0.05169597577665197
87,0.0,0.0,0.0422256982293248,0.05155009684585162
88,0.0,0.0,0.0422256982293248,0.0514042600173185
89,1.0,1.0,1.1412878950722902,0.05125846533471454
90,0.0,0.0,0.0422256982293248,0.051112712839889995
91,0.0,0.0,0.0422256982293248,0.05096700257309266
92,0.0,0.0,0.0422256982293248,0.0508213345729923
93,1.0,1.0,1.1412878950722902,0.05067570887665744
94,0.0,0.0,0.0422256982293248,0.050530125519536805
95,-1.0,-1.0,-1.0568364986136407,0.05038458453548447
