,pysentimentr_lmcd,pysentimentr_lmcd_rstd,pysentimentr_lmcd_rzstd,pysentimentr_lmcd_smalowess_rzstd
0,0.0,0.0,0.13542073650104156,0.0672472483650605
1,0.0,0.0,0.13542073650104156,0.06715434963943255
2,0.0,0.0,0.13542073650104156,0.06706148658887685
3,0.0,0.0,0.13542073650104156,0.06696865928118315
4,0.0,0.0,0.13542073650104156,0.06687586778085852
5,0.0,0.0,0.13542073650104156,0.06678311214905613
6,0.0,0.0,0.13542073650104156,0.06669039244351171
7,0.0,0.0,0.13542073650104156,0.06659770871893538
8,0.0,0.0,0.13542073650104156,0.06650506102878966
9,0.0,0.0,0.13542073650104156,0.06641244942566414
10,0.0,0.0,0.13542073650104156,0.06631987396094799
11,1.0,1.0,2.1714715097942014,0.06622733468378468
12,0.0,0.0,0.13542073650104156,0.0661348316407586
13,0.0,0.0,0.13542073650104156,0.06604236487581261
14,-1.0,-1.0,-1.9006300367921183,0.06594993443017767
15,0.0,0.0,0.13542073650104156,0.06585754034229745
16,0.0,0.0,0.13542073650104156,0.06576518264756565
17,0.0,0.0,0.13542073650104156,0.06567286137750304
18,0.0,0.0,0.13542073650104156,0.06558057655951229
19,0.0,0.0,0.13542073650104156,0.06548832821682249
20,0.0,0.0,0.13542073650104156,0.06539611636843587
21,0.0,0.0,0.13542073650104156,0.06530394102907784
22,0.0,0.0,0.13542073650104156,0.06521180220914219
23,0.0,0.0,0.13542073650104156,0.06511969991464361
24,0.0,0.0,0.13542073650104156,0.0650276341471677
25,0.0,0.0,0.13542073650104156,0.06493560490382101
26,0.0,0.0,0.13542073650104156,0.06484361217718791
27,0.0,0.0,0.13542073650104156,0.0647516559552774
28,0.0,0.0,0.13542073650104156,0.06465973622148524
29,0.0,0.0,0.13542073650104156,0.0645678529545423
30,0.0,0.0,0.13542073650104156,0.06447600612847638
31,0.0,0.0,0.13542073650104156,0.06438419571270787
32,0.0,0.0,0.13542073650104156,0.06429242167257325
33,1.0,1.0,2.1714715097942014,0.06420068396941085
34,0.0,0.0,0.13542073650104156,0.0641089825606824
35,0.0,0.0,0.13542073650104156,0.0640173174008357
36,0.0,0.0,0.13542073650104156,0.06392568844247123
37,-1.0,-1.0,-1.9006300367921183,0.0638340956373662
38,0.0,0.0,0.13542073650104156,0.06374253893661654
39,0.0,0.0,0.13542073650104156,0.06365101829055082
40,0.0,0.0,0.13542073650104156,0.06355953364864562
41,1.0,1.0,2.1714715097942014,0.0634680849592296
42,0.0,0.0,0.13542073650104156,0.06337667216874786
43,0.0,0.0,0.13542073650104156,0.06328529522232797
44,0.0,0.0,0.13542073650104156,0.06319395406391205
45,0.0,0.0,0.13542073650104156,0.06310264863617802
46,-2.0,-2.0,-3.936680810085278,0.06301137888024906
47,0.0,0.0,0.13542073650104156,0.06292014473478345
48,0.0,0.0,0.13542073650104156,0.06282894613569616
49,0.0,0.0,0.13542073650104156,0.06273778301608555
50,0.0,0.0,0.13542073650104156,0.06264665530616283
51,-1.0,-1.0,-1.9006300367921183,0.0625555629331843
52,0.0,0.0,0.13542073650104156,0.06246450582138028
53,1.0,1.0,2.1714715097942014,0.06237348389188788
54,-1.0,-1.0,-1.9006300367921183,0.06228249706268383
55,0.0,0.0,0.13542073650104156,0.062191545248516576
56,0.0,0.0,0.13542073650104156,0.06210062836084189
57,0.0,0.0,0.13542073650104156,0.06200974630775543
58,0.0,0.0,0.13542073650104156,0.061918898994115186
59,-1.0,-1.0,-1.9006300367921183,0.06182808632221046
60,-2.0,-2.0,-3.936680810085278,0.06173730819187489
61,0.0,0.0,0.13542073650104156,0.06164656450041496
62,1.0,1.0,2.1714715097942014,0.061555855142538175
63,1.0,1.0,2.1714715097942014,0.06146518001028186
64,0.0,0.0,0.13542073650104156,0.06137453899294407
65,0.0,0.0,0.13542073650104156,0.06128393197701125
66,0.0,0.0,0.13542073650104156,0.06119335884609334
67,0.0,0.0,0.13542073650104156,0.06110281948085137
68,0.0,0.0,0.13542073650104156,0.06101231375893307
69,-1.0,-1.0,-1.9006300367921183,0.06092184155490349
70,0.0,0.0,0.13542073650104156,0.060831402740180875
71,0.0,0.0,0.13542073650104156,0.06074099718281417
72,0.0,0.0,0.13542073650104156,0.06065062474680113
73,-1.0,-1.0,-1.9006300367921183,0.06056028529187589
74,0.0,0.0,0.13542073650104156,0.06046997867345931
75,-1.0,-1.0,-1.9006300367921183,0.06037970474260677
76,0.0,0.0,0.13542073650104156,0.0602894633459573
77,0.0,0.0,0.13542073650104156,0.06019925432568314
78,0.0,0.0,0.13542073650104156,0.060109077519443194
79,0.0,0.0,0.13542073650104156,0.060018932760330324
80,1.0,1.0,2.1714715097942014,0.059928819876828986
81,-1.0,-1.0,-1.9006300367921183,0.059838738692763606
82,0.0,0.0,0.13542073650104156,0.05974868902725615
83,0.0,0.0,0.13542073650104156,0.059658670694677805
84,0.0,0.0,0.13542073650104156,0.05956868350460613
85,-1.0,-1.0,-1.9006300367921183,0.05947872726177998
86,-1.0,-1.0,-1.9006300367921183,0.0593888017660578
87,0.0,0.0,0.13542073650104156,0.05929890681237256
88,0.0,0.0,0.13542073650104156,0.05920904219069264
89,0.0,0.0,0.13542073650104156,0.05911920768597788
90,0.0,0.0,0.13542073650104156,0.05902940307814214
91,0.0,0.0,0.13542073650104156,0.05893962814201045
92,0.0,0.0,0.13542073650104156,0.05884988264728157
93,0.0,0.0,0.13542073650104156,0.0587601663584897
94,-1.0,-1.0,-1.9006300367921183,0.05867047903496572
95,0.0,0.0,0.13542073650104156,0.058580820430801255
