,pysentimentr_senticnet,pysentimentr_senticnet_rstd,pysentimentr_senticnet_rzstd,pysentimentr_senticnet_smalowess_rzstd
0,0.0,-0.18667917448405252,-0.3259308892857485,0.017613333712300592
1,-0.554,-0.7063789868667919,-0.8370716537558512,0.017562008030072882
2,-0.7050000000000001,-0.8480300187617262,-0.9763898043605183,0.017510708285380278
3,2.543,2.1988742964352728,2.0203343887782794,0.017459434605020658
4,4.24,3.7908067542213892,3.586048968752583,0.017408187118985865
5,-2.0930000000000004,-2.1500938086303947,-2.2570096258126893,0.017356965960429068
6,0.8810000000000001,0.6397748592870547,0.486912095367971,0.017305771265845808
7,-0.19700000000000006,-0.37148217636022524,-0.5076903308030956,0.017254603175251064
8,0.075,-0.11632270168855532,-0.25673313236290063,0.017203461832022517
9,0.075,-0.11632270168855532,-0.25673313236290063,0.017152347382972492
10,0.075,-0.11632270168855532,-0.25673313236290063,0.017101259978661697
11,0.075,-0.11632270168855532,-0.25673313236290063,0.01705019977360934
12,0.075,-0.11632270168855532,-0.25673313236290063,0.016999166926370476
13,0.075,-0.11632270168855532,-0.25673313236290063,0.016948161599605927
14,0.075,-0.11632270168855532,-0.25673313236290063,0.01689718396014494
15,0.075,-0.11632270168855532,-0.25673313236290063,0.016846234178902308
16,0.075,-0.11632270168855532,-0.25673313236290063,0.01679531243090795
17,0.105,-0.08818011257035645,-0.22905402959376148,0.01674441889535776
18,0.5329999999999999,0.3133208255159475,0.16583450324595678,0.01669355375565719
19,0.105,-0.08818011257035645,-0.22905402959376148,0.016642717199465303
20,0.105,-0.08818011257035645,-0.22905402959376148,0.01659190941869094
21,0.075,-0.11632270168855532,-0.25673313236290063,0.0165411306094559
22,0.105,-0.08818011257035645,-0.22905402959376148,0.01649038097212139
23,0.105,-0.08818011257035645,-0.22905402959376148,0.01643966071128984
24,0.105,-0.08818011257035645,-0.22905402959376148,0.016388970035808786
25,0.105,-0.08818011257035645,-0.22905402959376148,0.016338309158770742
26,0.075,-0.11632270168855532,-0.25673313236290063,0.016287678297486268
27,-0.685,-0.829268292682927,-0.9579370691810921,0.01623707767339855
28,0.045,-0.14446529080675422,-0.2844122351320398,0.01618650751184162
29,0.5029999999999999,0.2851782363977486,0.13815540047681762,0.016135968041519073
30,0.045,-0.14446529080675422,-0.2844122351320398,0.01608545949348761
31,0.045,-0.14446529080675422,-0.2844122351320398,0.016034982100594897
32,0.045,-0.14446529080675422,-0.2844122351320398,0.01598453609654629
33,0.045,-0.14446529080675422,-0.2844122351320398,0.015934121715714556
34,0.045,-0.14446529080675422,-0.2844122351320398,0.0158837391929714
