,pysentimentr_jockersrinker,pysentimentr_jockersrinker_rstd,pysentimentr_jockersrinker_rzstd,pysentimentr_jockersrinker_smalowess_rzstd
0,0.0,0.0,0.12684073859189898,0.0026509570124894273
1,-0.25,-1.0,-0.24124824915329368,0.002592174763824645
2,-0.5,-2.0,-0.6093372368984864,0.00253342096684006
3,0.09999999999999998,0.3999999999999999,0.274076333689976,0.002474695729753606
4,2.25,9.0,3.439641628298633,0.002415999162475064
5,-0.9,-3.6,-1.1982796172907946,0.0023573313764444904
6,0.5,2.0,0.8630187140822844,0.0022986924845431913
7,0.0,0.0,0.12684073859189898,0.002240082601103234
8,0.0,0.0,0.12684073859189898,0.002181501842146108
9,0.0,0.0,0.12684073859189898,0.0021229503252497713
10,0.0,0.0,0.12684073859189898,0.0020644281689080365
11,0.0,0.0,0.12684073859189898,0.0020059354923208737
12,0.0,0.0,0.12684073859189898,0.001947472415305249
13,0.0,0.0,0.12684073859189898,0.0018890390581331306
14,0.0,0.0,0.12684073859189898,0.0018306355416931798
15,0.0,0.0,0.12684073859189898,0.001772261988405257
16,0.0,0.0,0.12684073859189898,0.0017139185223170568
17,0.0,0.0,0.12684073859189898,0.001655605269150212
18,0.0,0.0,0.12684073859189898,0.0015973223566778426
19,0.0,0.0,0.12684073859189898,0.0015390699144258032
20,0.0,0.0,0.12684073859189898,0.0014808480734342505
21,0.0,0.0,0.12684073859189898,0.001422656966149177
22,0.0,0.0,0.12684073859189898,0.001364496726231479
23,0.0,0.0,0.12684073859189898,0.0013063674883238452
24,0.0,0.0,0.12684073859189898,0.0012482693878485068
25,0.0,0.0,0.12684073859189898,0.001190202560527098
26,0.0,0.0,0.12684073859189898,0.001132167142179772
27,0.0,0.0,0.12684073859189898,0.0010741632685868276
28,0.0,0.0,0.12684073859189898,0.0010161910751039617
29,0.0,0.0,0.12684073859189898,0.0009582506962019634
30,0.0,0.0,0.12684073859189898,0.0009003422648676333
31,0.0,0.0,0.12684073859189898,0.0008424659124312285
32,0.0,0.0,0.12684073859189898,0.0007846217685760356
33,0.0,0.0,0.12684073859189898,0.0007268099615210479
34,0.0,0.0,0.12684073859189898,0.0006690306180279313
35,0.0,0.0,0.12684073859189898,0.0006112838633596432
36,0.0,0.0,0.12684073859189898,0.0005535698212609266
37,0.0,0.0,0.12684073859189898,0.0004958886139363905
38,0.0,0.0,0.12684073859189898,0.000438240362005053
39,0.65,2.6,1.0838721067294,0.00038062518418151075
40,-0.15,-0.6,-0.0940126540552166,0.0003230431971394276
41,1.1,4.4,1.7464322846707467,0.0002654945153909115
42,0.0,0.0,0.12684073859189898,0.0002079792512259236
43,-1.0,-4.0,-1.3455152123888716,0.00015049751467278828
44,-1.35,-5.4,-1.8608397952321416,9.304941348956711e-05
