,sentimentr_loughran_mcdonald,sentimentr_loughran_mcdonald_rstd,sentimentr_loughran_mcdonald_rzstd,sentimentr_loughran_mcdonald_smalowess_rzstd
0,0.0,0.0,0.18390750351302074,0.027241579582602996
1,0.0,0.0,0.18390750351302074,0.0272083373607046
2,0.22941573387056174,0.22941573387056174,1.5936576769466635,0.027175116219688992
3,0.0,0.0,0.18390750351302074,0.02714191619133912
4,0.14285714285714285,0.14285714285714285,1.0617587237467618,0.027108737307705008
5,-0.5345224838248488,-0.5345224838248488,-3.100710999163075,0.027075579601027213
6,0.19611613513818404,0.19611613513818404,1.3890330232830816,0.027042443103658602
7,0.0,0.0,0.18390750351302074,0.027009327847988793
8,0.0,0.0,0.18390750351302074,0.02697623386636706
9,0.0,0.0,0.18390750351302074,0.02694316119086823
10,0.0,0.0,0.18390750351302074,0.026910109852588786
11,0.0,0.0,0.18390750351302074,0.026877079881418648
12,0.0,0.0,0.18390750351302074,0.02684407130597254
13,0.0,0.0,0.18390750351302074,0.02681108415352368
14,0.0,0.0,0.18390750351302074,0.02677811844988967
15,0.0,0.0,0.18390750351302074,0.026745174219183772
16,0.0,0.0,0.18390750351302074,0.026712251483704992
17,0.0,0.0,0.18390750351302074,0.02667935026395898
18,0.0,0.0,0.18390750351302074,0.026646470578906765
19,0.0,0.0,0.18390750351302074,0.026613612445981125
20,0.0,0.0,0.18390750351302074,0.02658077588110308
21,0.0,0.0,0.18390750351302074,0.026547960899017058
22,0.0,0.0,0.18390750351302074,0.026515167513589177
23,0.0,0.0,0.18390750351302074,0.026482395737811096
24,0.0,0.0,0.18390750351302074,0.026449645583729267
25,0.0,0.0,0.18390750351302074,0.026416917062377965
26,0.0,0.0,0.18390750351302074,0.026384210183711117
27,0.0,0.0,0.18390750351302074,0.026351524956535363
28,0.0,0.0,0.18390750351302074,0.02631886138844422
29,0.0,0.0,0.18390750351302074,0.026286219485752327
30,0.0,0.0,0.18390750351302074,0.02625359925343137
31,0.0,0.0,0.18390750351302074,0.02622100069496897
32,0.0,0.0,0.18390750351302074,0.026188423811993457
33,0.0,0.0,0.18390750351302074,0.0261558686041412
34,0.0,0.0,0.18390750351302074,0.026123335069001354
35,0.0,0.0,0.18390750351302074,0.026090823202016018
36,0.0,0.0,0.18390750351302074,0.02605833299624094
37,0.0,0.0,0.18390750351302074,0.026025864442251915
38,0.0,0.0,0.18390750351302074,0.025993417528102126
39,0.0,0.0,0.18390750351302074,0.025960992239279432
40,0.0,0.0,0.18390750351302074,0.025928588558664978
41,0.0,0.0,0.18390750351302074,0.02589620646649375
42,0.0,0.0,0.18390750351302074,0.02586384594031497
43,0.0,0.0,0.18390750351302074,0.025831506954955563
44,0.0,0.0,0.18390750351302074,0.02579918948248227
45,0.0,0.0,0.18390750351302074,0.025766893492167608
46,0.0,0.0,0.18390750351302074,0.025734618950454705
47,-0.19245008972987526,-0.19245008972987526,-0.9986903192112269,0.02570236582092467
48,0.0,0.0,0.18390750351302074,0.02567013406430992
49,0.0,0.0,0.18390750351302074,0.02563792363864045
50,0.0,0.0,0.18390750351302074,0.025605734499252335
51,0.0,0.0,0.18390750351302074,0.025573566598749896
52,0.0,0.0,0.18390750351302074,0.025541419886968494
53,0.0,0.0,0.18390750351302074,0.025509294310939734
54,-0.4082482904638631,-0.4082482904638631,-2.3247613160812657,0.02547718981485639
55,0.0,0.0,0.18390750351302074,0.025445106340040286
56,0.0,0.0,0.18390750351302074,0.025413043824908565
57,0.0,0.0,0.18390750351302074,0.025381002204944245
58,0.0,0.0,0.18390750351302074,0.025348981412665367
59,0.0,0.0,0.18390750351302074,0.025316981377595454
60,0.22941573387056174,0.22941573387056174,1.5936576769466635,0.025285002026237784
61,0.0,0.0,0.18390750351302074,0.02525304328212967
62,0.0,0.0,0.18390750351302074,0.025221105066093392
63,0.0,0.0,0.18390750351302074,0.025189187296034428
64,0.0,0.0,0.18390750351302074,0.025157289886722736
65,0.0,0.0,0.18390750351302074,0.02512541274973816
66,0.0,0.0,0.18390750351302074,0.025093555793521693
67,0.0,0.0,0.18390750351302074,0.025061718923634117
68,0.0,0.0,0.18390750351302074,0.025029902042793595
69,0.0,0.0,0.18390750351302074,0.02499810505084167
70,-0.30151134457776363,-0.30151134457776363,-1.6688672087503196,0.02496632784471001
71,0.0,0.0,0.18390750351302074,0.024934570318438
72,0.0,0.0,0.18390750351302074,0.02490283236334174
73,0.0,0.0,0.18390750351302074,0.024871113868026953
74,0.0,0.0,0.18390750351302074,0.024839414718350276
75,0.0,0.0,0.18390750351302074,0.024807734797382554
76,0.0,0.0,0.18390750351302074,0.024776073985371322
77,0.0,0.0,0.18390750351302074,0.024744432159790216
78,-0.0002132007163556106,-0.0002132007163556106,0.18259739394996838,0.024712809195747344
79,0.0,0.0,0.18390750351302074,0.024681204966478673
80,0.0,0.0,0.18390750351302074,0.02464961934350663
81,0.0,0.0,0.18390750351302074,0.024618052196977384
82,0.0,0.0,0.18390750351302074,0.024586503395703358
83,0.0,0.0,0.18390750351302074,0.024554972807105346
84,0.0,0.0,0.18390750351302074,0.024523460297156418
85,0.0,0.0,0.18390750351302074,0.024491965730325752
86,0.0,0.0,0.18390750351302074,0.024460488969523454
87,0.0,0.0,0.18390750351302074,0.024429029876045845
88,0.0,0.0,0.18390750351302074,0.02439758830952118
89,0.0,0.0,0.18390750351302074,0.02436616412785614
90,0.0,0.0,0.18390750351302074,0.024334757187297273
91,0.0,0.0,0.18390750351302074,0.024303367342839027
92,0.0,0.0,0.18390750351302074,0.024271994448281632
