"","x","y"
"1","abandon",-1
"2","abandoned",-1
"3","abandonment",-1
"4","abba",1
"5","abduction",-1
"6","aberrant",-1
"7","aberration",-1
"8","abhor",-1
"9","abhorrent",-1
"10","ability",1
"11","abject",-1
"12","abnormal",-1
"13","abolish",-1
"14","abolition",-1
"15","abominable",-1
"16","abomination",-1
"17","abort",-1
"18","abortion",-1
"19","abortive",-1
"20","abovementioned",1
"21","abrasion",-1
"22","abrogate",-1
"23","abscess",-1
"24","absence",-1
"25","absent",-1
"26","absentee",-1
"27","absenteeism",-1
"28","absolute",1
"29","absolution",1
"30","absorbed",1
"31","absurd",-1
"32","absurdity",-1
"33","abundant",1
"34","abuse",-1
"35","abysmal",-1
"36","abyss",-1
"37","academic",1
"38","academy",1
"39","acceptable",1
"40","acceptance",1
"41","accessible",1
"42","accident",-1
"43","accidental",-1
"44","accolade",1
"45","accommodation",1
"46","accompaniment",1
"47","accomplish",1
"48","accomplished",1
"49","accomplishment",1
"50","accord",1
"51","accountability",1
"52","accountable",1
"53","accredited",1
"54","accueil",1
"55","accurate",1
"56","accursed",-1
"57","accusation",-1
"58","accusative",-1
"59","accused",-1
"60","accuser",-1
"61","accusing",-1
"62","ace",1
"63","ache",-1
"64","achieve",1
"65","achievement",1
"66","aching",-1
"67","acid",-1
"68","acknowledgment",1
"69","acquire",1
"70","acquiring",1
"71","acrobat",1
"72","action",1
"73","actionable",-1
"74","actual",1
"75","acuity",1
"76","acumen",1
"77","adapt",1
"78","adaptable",1
"79","adder",-1
"80","addiction",-1
"81","addresses",1
"82","adept",1
"83","adequacy",1
"84","adipose",-1
"85","adjudicate",-1
"86","adjunct",1
"87","admirable",1
"88","admiral",1
"89","admiration",1
"90","admire",1
"91","admirer",1
"92","admissible",1
"93","admonition",-1
"94","adorable",1
"95","adoration",1
"96","adore",1
"97","adrift",-1
"98","adulterated",-1
"99","adultery",-1
"100","advance",1
"101","advanced",1
"102","advancement",1
"103","advantage",1
"104","advantageous",1
"105","advent",1
"106","adventure",1
"107","adventurous",1
"108","adversary",-1
"109","adverse",-1
"110","adversity",-1
"111","advisable",1
"112","advise",1
"113","adviser",1
"114","advocacy",1
"115","aesthetic",1
"116","aesthetics",1
"117","affable",1
"118","affection",1
"119","affiliated",1
"120","affirm",1
"121","affirmation",1
"122","affirmative",1
"123","affirmatively",1
"124","afflict",-1
"125","afflicted",-1
"126","affliction",-1
"127","affluence",1
"128","affluent",1
"129","afford",1
"130","affront",-1
"131","afraid",-1
"132","aftermath",-1
"133","aftertaste",-1
"134","aga",1
"135","aggravated",-1
"136","aggravating",-1
"137","aggravation",-1
"138","aggression",-1
"139","aggressive",-1
"140","aggressor",-1
"141","aghast",-1
"142","agile",1
"143","agility",1
"144","agitated",-1
"145","agitation",-1
"146","agonizing",-1
"147","agony",-1
"148","agree",1
"149","agreeable",1
"150","agreed",1
"151","agreeing",1
"152","agreement",1
"153","agriculture",1
"154","aground",-1
"155","ahead",1
"156","aid",1
"157","aiding",1
"158","ail",-1
"159","ailing",-1
"160","aimless",-1
"161","airs",-1
"162","alabaster",1
"163","alarm",-1
"164","alarming",-1
"165","alcoholism",-1
"166","alertness",1
"167","alien",-1
"168","alienate",-1
"169","alienated",-1
"170","alienation",-1
"171","alimentation",1
"172","alimony",-1
"173","alive",1
"174","allay",1
"175","allegation",-1
"176","allege",-1
"177","allegiance",1
"178","allegro",1
"179","alleviate",1
"180","alleviation",1
"181","allied",1
"182","allowable",1
"183","allure",1
"184","alluring",1
"185","ally",1
"186","almighty",1
"187","aloha",1
"188","aloof",-1
"189","altercation",-1
"190","amazingly",1
"191","ambassador",1
"192","ambiguous",-1
"193","ambition",1
"194","ambush",-1
"195","ameliorate",1
"196","amen",1
"197","amenable",1
"198","amend",1
"199","amends",1
"200","amenity",1
"201","amiable",1
"202","amicable",1
"203","amnesia",-1
"204","amnesty",1
"205","amour",1
"206","amphetamines",-1
"207","amuse",1
"208","amused",1
"209","amusement",1
"210","amusing",1
"211","anaconda",-1
"212","anal",-1
"213","analyst",1
"214","anarchism",-1
"215","anarchist",-1
"216","anarchy",-1
"217","anathema",-1
"218","anchor",1
"219","anchorage",1
"220","ancient",-1
"221","angel",1
"222","angelic",1
"223","anger",-1
"224","angina",-1
"225","angling",-1
"226","angry",-1
"227","anguish",-1
"228","animate",1
"229","animated",1
"230","animosity",-1
"231","animus",-1
"232","annihilate",-1
"233","annihilated",-1
"234","annihilation",-1
"235","annoy",-1
"236","annoyance",-1
"237","annoying",-1
"238","annul",-1
"239","annulment",-1
"240","anomaly",-1
"241","anonymous",-1
"242","antagonism",-1
"243","antagonist",-1
"244","antagonistic",-1
"245","anthrax",-1
"246","antibiotics",1
"247","antichrist",-1
"248","antidote",1
"249","antifungal",1
"250","antipathy",-1
"251","antiquated",-1
"252","antique",1
"253","antiseptic",1
"254","antisocial",-1
"255","antithesis",-1
"256","anxiety",-1
"257","anxious",-1
"258","apache",-1
"259","apathetic",-1
"260","apathy",-1
"261","aphid",-1
"262","aplomb",1
"263","apologetic",1
"264","apologize",1
"265","apology",1
"266","apostle",1
"267","appalling",-1
"268","appendicitis",-1
"269","applause",1
"270","appreciation",1
"271","apprehension",-1
"272","apprehensive",-1
"273","approbation",1
"274","appropriation",-1
"275","approval",1
"276","approve",1
"277","approving",1
"278","apt",1
"279","aptitude",1
"280","archaeology",1
"281","archaic",-1
"282","ardent",1
"283","ardor",1
"284","arduous",-1
"285","argue",-1
"286","argument",-1
"287","argumentative",-1
"288","arid",-1
"289","aristocracy",1
"290","aristocratic",1
"291","armaments",-1
"292","armor",1
"293","aroma",1
"294","arouse",1
"295","arraignment",-1
"296","array",1
"297","arrears",-1
"298","arrest",-1
"299","arrogance",-1
"300","arrogant",-1
"301","arsenic",-1
"302","arson",-1
"303","art",1
"304","articulate",1
"305","articulation",1
"306","artillery",-1
"307","artisan",1
"308","artiste",1
"309","artistic",1
"310","ascendancy",1
"311","ascent",1
"312","ash",-1
"313","ashamed",-1
"314","ashes",-1
"315","aspiration",1
"316","aspire",1
"317","aspiring",1
"318","ass",-1
"319","assail",-1
"320","assailant",-1
"321","assassin",-1
"322","assassinate",-1
"323","assassination",-1
"324","assault",-1
"325","assembly",1
"326","assent",1
"327","asserting",1
"328","assets",1
"329","asshole",-1
"330","assist",1
"331","assistance",1
"332","associate",1
"333","assuage",1
"334","assurance",1
"335","assured",1
"336","astonishingly",1
"337","astonishment",1
"338","astray",-1
"339","astringent",-1
"340","astrologer",1
"341","astronaut",1
"342","astronomer",1
"343","astute",1
"344","asylum",-1
"345","atheism",-1
"346","atherosclerosis",-1
"347","athlete",1
"348","athletic",1
"349","atom",1
"350","atone",1
"351","atonement",1
"352","atrocious",-1
"353","atrocity",-1
"354","atrophy",-1
"355","attachment",1
"356","attack",-1
"357","attacking",-1
"358","attainable",1
"359","attainment",1
"360","attendant",1
"361","attention",1
"362","attentive",1
"363","attenuated",-1
"364","attenuation",-1
"365","attest",1
"366","attorney",1
"367","attraction",1
"368","attractiveness",1
"369","audacity",-1
"370","augment",1
"371","august",1
"372","aunt",1
"373","aura",1
"374","auspicious",1
"375","austere",-1
"376","austerity",-1
"377","authentic",1
"378","authenticity",1
"379","author",1
"380","authoritative",1
"381","authority",1
"382","authorization",1
"383","authorized",1
"384","autocratic",-1
"385","autopsy",-1
"386","avalanche",-1
"387","avarice",-1
"388","avatar",1
"389","avenger",-1
"390","averse",-1
"391","aversion",-1
"392","avoid",-1
"393","avoidance",-1
"394","award",1
"395","awful",-1
"396","awkwardness",-1
"397","awry",-1
"398","ay",1
"399","aye",1
"400","babble",-1
"401","babbling",-1
"402","baboon",-1
"403","baby",1
"404","baccalaureate",1
"405","backbone",1
"406","backward",-1
"407","backwards",-1
"408","backwater",-1
"409","bacteria",-1
"410","bacterium",-1
"411","bad",-1
"412","badger",-1
"413","badly",-1
"414","badness",-1
"415","bailiff",-1
"416","bait",-1
"417","balance",1
"418","balanced",1
"419","bale",-1
"420","balk",-1
"421","ballad",1
"422","ballet",1
"423","ballot",1
"424","balsam",1
"425","ban",-1
"426","bandit",-1
"427","bane",-1
"428","bang",-1
"429","banger",-1
"430","banish",-1
"431","banished",-1
"432","banishment",-1
"433","bankrupt",-1
"434","bankruptcy",-1
"435","banquet",1
"436","banshee",-1
"437","baptism",1
"438","baptismal",1
"439","barb",-1
"440","barbarian",-1
"441","barbaric",-1
"442","barbarism",-1
"443","bard",1
"444","bargain",1
"445","bark",-1
"446","barred",-1
"447","barren",-1
"448","barricade",-1
"449","barrier",-1
"450","baseless",-1
"451","basketball",1
"452","bastard",-1
"453","bastion",1
"454","bath",1
"455","batter",-1
"456","battered",-1
"457","battery",-1
"458","battle",-1
"459","battled",-1
"460","battlefield",-1
"461","bawdy",-1
"462","bayonet",-1
"463","beam",1
"464","beaming",1
"465","bearer",-1
"466","beast",-1
"467","beastly",-1
"468","beating",-1
"469","beautification",1
"470","beautiful",1
"471","beautify",1
"472","beauty",1
"473","bedrock",1
"474","beer",1
"475","befall",-1
"476","befitting",1
"477","befriend",1
"478","beg",-1
"479","beggar",-1
"480","begging",-1
"481","behemoth",-1
"482","beholden",-1
"483","belated",-1
"484","believing",1
"485","belittle",-1
"486","belligerent",-1
"487","belt",-1
"488","bender",-1
"489","benefactor",1
"490","beneficial",1
"491","benefit",1
"492","benevolence",1
"493","benign",1
"494","bereaved",-1
"495","bereavement",-1
"496","bereft",-1
"497","berserk",-1
"498","berth",1
"499","bestial",-1
"500","betray",-1
"501","betrayal",-1
"502","betrothed",1
"503","betterment",1
"504","beverage",1
"505","beware",-1
"506","bewildered",-1
"507","bias",-1
"508","biased",-1
"509","biblical",1
"510","bickering",-1
"511","bier",-1
"512","bigot",-1
"513","bigoted",-1
"514","bile",-1
"515","bilingual",1
"516","biopsy",-1
"517","birch",-1
"518","birth",1
"519","birthday",1
"520","birthplace",-1
"521","bitch",-1
"522","bite",-1
"523","bitterly",-1
"524","bitterness",-1
"525","bizarre",-1
"526","black",-1
"527","blackjack",-1
"528","blackmail",-1
"529","blackness",-1
"530","blame",-1
"531","blameless",1
"532","bland",-1
"533","blasphemous",-1
"534","blasphemy",-1
"535","blast",-1
"536","blatant",-1
"537","blather",-1
"538","blaze",-1
"539","bleak",-1
"540","bleeding",-1
"541","blemish",-1
"542","bless",1
"543","blessed",1
"544","blessing",1
"545","blessings",1
"546","blight",-1
"547","blighted",-1
"548","blind",-1
"549","blinded",-1
"550","blindly",-1
"551","blindness",-1
"552","bliss",1
"553","blissful",1
"554","blister",-1
"555","bloated",-1
"556","blob",-1
"557","blockade",-1
"558","bloodless",1
"559","bloodshed",-1
"560","bloodthirsty",-1
"561","bloody",-1
"562","bloom",1
"563","blossom",1
"564","blot",-1
"565","blower",-1
"566","blowout",-1
"567","blues",-1
"568","bluff",-1
"569","blunder",-1
"570","blur",-1
"571","blurred",-1
"572","blush",-1
"573","boasting",-1
"574","bodyguard",1
"575","bog",-1
"576","bogus",-1
"577","boil",-1
"578","boilerplate",-1
"579","bold",1
"580","boldness",1
"581","bolster",1
"582","bomb",-1
"583","bombard",-1
"584","bombardment",-1
"585","bombed",-1
"586","bonanza",1
"587","bondage",-1
"588","bonds",-1
"589","bonne",1
"590","bonus",1
"591","boo",-1
"592","booby",-1
"593","bookish",1
"594","bookshop",1
"595","boon",1
"596","booze",-1
"597","bore",-1
"598","boredom",-1
"599","boring",-1
"600","borrower",-1
"601","bother",-1
"602","bothering",-1
"603","bottom",-1
"604","bound",-1
"605","bountiful",1
"606","bounty",1
"607","bouquet",1
"608","bout",-1
"609","bovine",-1
"610","boy",-1
"611","boycott",-1
"612","brag",-1
"613","brains",1
"614","brandy",-1
"615","bravado",-1
"616","bravery",1
"617","brawl",-1
"618","brazen",-1
"619","breach",-1
"620","breakdown",-1
"621","breakfast",1
"622","breakneck",-1
"623","breakup",-1
"624","bribe",-1
"625","bribery",-1
"626","bridal",1
"627","bride",1
"628","bridegroom",1
"629","bridesmaid",1
"630","brigade",-1
"631","brighten",1
"632","brightness",1
"633","brilliant",1
"634","brimstone",-1
"635","bristle",-1
"636","broadside",-1
"637","brocade",1
"638","broil",-1
"639","broke",-1
"640","broken",-1
"641","brothel",-1
"642","brother",1
"643","brotherhood",1
"644","brotherly",1
"645","bruise",-1
"646","brunt",-1
"647","brutal",-1
"648","brutality",-1
"649","brute",-1
"650","buddy",1
"651","buffet",-1
"652","bug",-1
"653","bugaboo",-1
"654","build",1
"655","building",1
"656","bulbous",-1
"657","bulldog",1
"658","bulletproof",1
"659","bully",-1
"660","bum",-1
"661","bummer",-1
"662","buoy",1
"663","burdensome",-1
"664","bureaucracy",-1
"665","bureaucrat",-1
"666","burglar",-1
"667","burglary",-1
"668","burial",-1
"669","buried",-1
"670","burke",-1
"671","burnt",-1
"672","buss",1
"673","busted",-1
"674","butcher",-1
"675","butler",1
"676","butt",-1
"677","buttery",1
"678","buxom",1
"679","buzz",1
"680","buzzed",-1
"681","cab",1
"682","cabal",-1
"683","cabinet",1
"684","cacophony",-1
"685","cad",-1
"686","cadaver",-1
"687","cafe",1
"688","cage",-1
"689","calculating",-1
"690","calculator",1
"691","calf",1
"692","callous",-1
"693","calls",-1
"694","calm",1
"695","campaigning",-1
"696","canary",1
"697","cancel",-1
"698","cancer",-1
"699","candid",1
"700","candidate",1
"701","candied",1
"702","canker",-1
"703","cannibal",-1
"704","cannibalism",-1
"705","cannon",-1
"706","capitalist",1
"707","captain",1
"708","captivate",1
"709","captivating",1
"710","captive",-1
"711","captivity",-1
"712","captor",-1
"713","capture",-1
"714","carcass",-1
"715","carcinoma",-1
"716","cardiomyopathy",-1
"717","career",1
"718","careful",1
"719","carefully",1
"720","carelessness",-1
"721","caress",1
"722","caretaker",1
"723","caricature",-1
"724","caries",-1
"725","carnage",-1
"726","carnal",-1
"727","carnivorous",-1
"728","carol",1
"729","cartel",-1
"730","cascade",1
"731","case",-1
"732","cash",1
"733","casket",-1
"734","caste",-1
"735","casualty",-1
"736","cataract",-1
"737","catastrophe",-1
"738","categorical",1
"739","cater",1
"740","cathartic",1
"741","cathedral",1
"742","catheter",-1
"743","caution",-1
"744","cautious",1
"745","cautiously",1
"746","cede",-1
"747","celebrated",1
"748","celebrating",1
"749","celebration",1
"750","celestial",1
"751","cemetery",-1
"752","censor",-1
"753","censure",-1
"754","center",1
"755","centurion",1
"756","cerebral",1
