"","x","y"
"1","a plus",1
"2","abnormal",-1
"3","abolish",-1
"4","abominable",-1
"5","abominably",-1
"6","abominate",-1
"7","abomination",-1
"8","abort",-1
"9","aborted",-1
"10","aborts",-1
"11","abound",1
"12","abounds",1
"13","above average",1
"14","abrade",-1
"15","abrasive",-1
"16","abrupt",-1
"17","abruptly",-1
"18","abscond",-1
"19","absence",-1
"20","absent minded",-1
"21","absentee",-1
"22","absurd",-1
"23","absurdity",-1
"24","absurdly",-1
"25","absurdness",-1
"26","abundance",1
"27","abundant",1
"28","abuse",-1
"29","abused",-1
"30","abuses",-1
"31","abusive",-1
"32","abysmal",-1
"33","abysmally",-1
"34","abyss",-1
"35","accessable",1
"36","accessible",1
"37","accidental",-1
"38","acclaim",1
"39","acclaimed",1
"40","acclamation",1
"41","accolade",1
"42","accolades",1
"43","accommodative",1
"44","accomodative",1
"45","accomplish",1
"46","accomplished",1
"47","accomplishment",1
"48","accomplishments",1
"49","accost",-1
"50","accurate",1
"51","accurately",1
"52","accursed",-1
"53","accusation",-1
"54","accusations",-1
"55","accuse",-1
"56","accuses",-1
"57","accusing",-1
"58","accusingly",-1
"59","acerbate",-1
"60","acerbic",-1
"61","acerbically",-1
"62","ache",-1
"63","ached",-1
"64","aches",-1
"65","achey",-1
"66","achievable",1
"67","achievement",1
"68","achievements",1
"69","achievible",1
"70","aching",-1
"71","acrid",-1
"72","acridly",-1
"73","acridness",-1
"74","acrimonious",-1
"75","acrimoniously",-1
"76","acrimony",-1
"77","acumen",1
"78","adamant",-1
"79","adamantly",-1
"80","adaptable",1
"81","adaptive",1
"82","addict",-1
"83","addicted",-1
"84","addicting",-1
"85","addicts",-1
"86","adequate",1
"87","adjustable",1
"88","admirable",1
"89","admirably",1
"90","admiration",1
"91","admire",1
"92","admirer",1
"93","admiring",1
"94","admiringly",1
"95","admonish",-1
"96","admonisher",-1
"97","admonishingly",-1
"98","admonishment",-1
"99","admonition",-1
"100","adorable",1
"101","adore",1
"102","adored",1
"103","adorer",1
"104","adoring",1
"105","adoringly",1
"106","adroit",1
"107","adroitly",1
"108","adulate",1
"109","adulation",1
"110","adulatory",1
"111","adulterate",-1
"112","adulterated",-1
"113","adulteration",-1
"114","adulterier",-1
"115","advanced",1
"116","advantage",1
"117","advantageous",1
"118","advantageously",1
"119","advantages",1
"120","adventuresome",1
"121","adventurous",1
"122","adversarial",-1
"123","adversary",-1
"124","adverse",-1
"125","adversity",-1
"126","advocate",1
"127","advocated",1
"128","advocates",1
"129","affability",1
"130","affable",1
"131","affably",1
"132","affectation",1
"133","affection",1
"134","affectionate",1
"135","affinity",1
"136","affirm",1
"137","affirmation",1
"138","affirmative",1
"139","afflict",-1
"140","affliction",-1
"141","afflictive",-1
"142","affluence",1
"143","affluent",1
"144","afford",1
"145","affordable",1
"146","affordably",1
"147","affront",-1
"148","afordable",1
"149","afraid",-1
"150","aggravate",-1
"151","aggravating",-1
"152","aggravation",-1
"153","aggression",-1
"154","aggressive",-1
"155","aggressiveness",-1
"156","aggressor",-1
"157","aggrieve",-1
"158","aggrieved",-1
"159","aggrivation",-1
"160","aghast",-1
"161","agile",1
"162","agilely",1
"163","agility",1
"164","agonies",-1
"165","agonize",-1
"166","agonizing",-1
"167","agonizingly",-1
"168","agony",-1
"169","agreeable",1
"170","agreeableness",1
"171","agreeably",1
"172","aground",-1
"173","ail",-1
"174","ailing",-1
"175","ailment",-1
"176","aimless",-1
"177","alarm",-1
"178","alarmed",-1
"179","alarming",-1
"180","alarmingly",-1
"181","alienate",-1
"182","alienated",-1
"183","alienation",-1
"184","all around",1
"185","allegation",-1
"186","allegations",-1
"187","allege",-1
"188","allergic",-1
"189","allergies",-1
"190","allergy",-1
"191","alluring",1
"192","alluringly",1
"193","aloof",-1
"194","altercation",-1
"195","altruistic",1
